feature,n_valid,n_unique,passed,reasons
RFootProgressAngles_ax1_std__median,31,31,True,
RFootProgressAngles_ax1_rom__median,31,31,True,
RFootProgressAngles_ax1_tmin_pct__median,31,5,True,
RFootProgressAngles_ax1_tmax_pct__median,31,16,True,
RFootProgressAngles_ax1_peak_vel__median,31,31,True,
RFootProgressAngles_ax1_tpeak_vel_pct__median,31,18,True,
RFootProgressAngles_ax1_vel_rms__median,31,31,True,
RFootProgressAngles_ax1_peak_acc__median,31,31,True,
RFootProgressAngles_ax1_acc_rms__median,31,31,True,
RFootProgressAngles_ax2_min__median,31,31,True,
RFootProgressAngles_ax2_max__median,31,31,True,
RFootProgressAngles_ax2_mean__median,31,31,True,
RFootProgressAngles_ax2_median__median,31,31,True,
RFootProgressAngles_ax2_std__median,31,31,True,
RFootProgressAngles_ax2_rom__median,31,31,True,
RFootProgressAngles_ax2_tmin_pct__median,31,22,True,
RFootProgressAngles_ax2_tmax_pct__median,31,24,True,
RFootProgressAngles_ax2_peak_vel__median,31,31,True,
RFootProgressAngles_ax2_tpeak_vel_pct__median,31,22,True,
RFootProgressAngles_ax2_vel_rms__median,31,31,True,
RFootProgressAngles_ax2_peak_acc__median,31,31,True,
RFootProgressAngles_ax2_acc_rms__median,31,31,True,
RFootProgressAngles_ax3_min__median,31,31,True,
RFootProgressAngles_ax3_max__median,31,31,True,
RFootProgressAngles_ax3_mean__median,31,31,True,
RFootProgressAngles_ax3_median__median,31,31,True,
RFootProgressAngles_ax3_std__median,31,31,True,
RFootProgressAngles_ax3_rom__median,31,31,True,
RFootProgressAngles_ax3_tmin_pct__median,31,24,True,
RFootProgressAngles_ax3_tmax_pct__median,31,23,True,
RFootProgressAngles_ax3_peak_vel__median,31,31,True,
RFootProgressAngles_ax3_tpeak_vel_pct__median,31,23,True,
RFootProgressAngles_ax3_vel_rms__median,31,31,True,
RFootProgressAngles_ax3_peak_acc__median,31,31,True,
RFootProgressAngles_ax3_acc_rms__median,31,31,True,
