feature,n_valid,n_unique,passed,reasons
RHipAngles_ax1_phase_0_10_rom__median,31,31,True,
RHipAngles_ax1_phase_10_20_mean__median,31,31,True,
RHipAngles_ax1_phase_10_20_min__median,31,31,True,
RHipAngles_ax1_phase_10_20_max__median,31,31,True,
RHipAngles_ax1_phase_10_20_rom__median,31,31,True,
RHipAngles_ax1_phase_20_30_mean__median,31,31,True,
RHipAngles_ax1_phase_20_30_min__median,31,31,True,
RHipAngles_ax1_phase_20_30_max__median,31,31,True,
RHipAngles_ax1_phase_20_30_rom__median,31,31,True,
RHipAngles_ax1_phase_30_40_mean__median,31,31,True,
RHipAngles_ax1_phase_30_40_min__median,31,31,True,
RHipAngles_ax1_phase_30_40_max__median,31,31,True,
RHipAngles_ax1_phase_30_40_rom__median,31,31,True,
RHipAngles_ax1_phase_40_50_mean__median,31,31,True,
RHipAngles_ax1_phase_40_50_min__median,31,31,True,
RHipAngles_ax1_phase_40_50_max__median,31,31,True,
RHipAngles_ax1_phase_40_50_rom__median,31,31,True,
RHipAngles_ax1_phase_50_60_mean__median,31,31,True,
RHipAngles_ax1_phase_50_60_min__median,31,31,True,
RHipAngles_ax1_phase_50_60_max__median,31,31,True,
RHipAngles_ax1_phase_50_60_rom__median,31,31,True,
RHipAngles_ax1_phase_60_70_mean__median,31,31,True,
RHipAngles_ax1_phase_60_70_min__median,31,31,True,
RHipAngles_ax1_phase_60_70_max__median,31,31,True,
RHipAngles_ax1_phase_60_70_rom__median,31,31,True,
RHipAngles_ax1_phase_70_80_mean__median,31,31,True,
RHipAngles_ax1_phase_70_80_min__median,31,31,True,
RHipAngles_ax1_phase_70_80_max__median,31,31,True,
RHipAngles_ax1_phase_70_80_rom__median,31,31,True,
RHipAngles_ax1_phase_80_90_mean__median,31,31,True,
RHipAngles_ax1_phase_80_90_min__median,31,31,True,
RHipAngles_ax1_phase_80_90_max__median,31,31,True,
RHipAngles_ax1_phase_80_90_rom__median,31,31,True,
RHipAngles_ax1_phase_90_100_mean__median,31,31,True,
RHipAngles_ax1_phase_90_100_min__median,31,31,True,
RHipAngles_ax1_phase_90_100_max__median,31,31,True,
RHipAngles_ax1_phase_90_100_rom__median,31,31,True,
LKneeAngles_ax1_phase_0_10_mean__median,31,31,True,
LKneeAngles_ax1_phase_0_10_min__median,31,31,True,
LKneeAngles_ax1_phase_0_10_max__median,31,31,True,
LKneeAngles_ax1_phase_0_10_rom__median,31,31,True,
LKneeAngles_ax1_phase_10_20_mean__median,31,31,True,
LKneeAngles_ax1_phase_10_20_min__median,31,31,True,
LKneeAngles_ax1_phase_10_20_max__median,31,31,True,
LKneeAngles_ax1_phase_10_20_rom__median,31,31,True,
LKneeAngles_ax1_phase_20_30_mean__median,31,31,True,
LKneeAngles_ax1_phase_20_30_min__median,31,31,True,
LKneeAngles_ax1_phase_20_30_max__median,31,31,True,
LKneeAngles_ax1_phase_20_30_rom__median,31,31,True,
LKneeAngles_ax1_phase_30_40_mean__median,31,31,True,
LKneeAngles_ax1_phase_30_40_min__median,31,31,True,
LKneeAngles_ax1_phase_30_40_max__median,31,31,True,
LKneeAngles_ax1_phase_30_40_rom__median,31,31,True,
LKneeAngles_ax1_phase_40_50_mean__median,31,31,True,
LKneeAngles_ax1_phase_40_50_min__median,31,31,True,
LKneeAngles_ax1_phase_40_50_max__median,31,31,True,
LKneeAngles_ax1_phase_40_50_rom__median,31,31,True,
LKneeAngles_ax1_phase_50_60_mean__median,31,31,True,
LKneeAngles_ax1_phase_50_60_min__median,31,31,True,
LKneeAngles_ax1_phase_50_60_max__median,31,31,True,
LKneeAngles_ax1_phase_50_60_rom__median,31,31,True,
LKneeAngles_ax1_phase_60_70_mean__median,31,31,True,
LKneeAngles_ax1_phase_60_70_min__median,31,31,True,
LKneeAngles_ax1_phase_60_70_max__median,31,31,True,
LKneeAngles_ax1_phase_60_70_rom__median,31,31,True,
LKneeAngles_ax1_phase_70_80_mean__median,31,31,True,
LKneeAngles_ax1_phase_70_80_min__median,31,31,True,
LKneeAngles_ax1_phase_70_80_max__median,31,31,True,
LKneeAngles_ax1_phase_70_80_rom__median,31,31,True,
LKneeAngles_ax1_phase_80_90_mean__median,31,31,True,
LKneeAngles_ax1_phase_80_90_min__median,31,31,True,
LKneeAngles_ax1_phase_80_90_max__median,31,31,True,
LKneeAngles_ax1_phase_80_90_rom__median,31,31,True,
LKneeAngles_ax1_phase_90_100_mean__median,31,31,True,
LKneeAngles_ax1_phase_90_100_min__median,31,31,True,
LKneeAngles_ax1_phase_90_100_max__median,31,31,True,
LKneeAngles_ax1_phase_90_100_rom__median,31,31,True,
RKneeAngles_ax1_phase_0_10_mean__median,31,31,True,
RKneeAngles_ax1_phase_0_10_min__median,31,31,True,
RKneeAngles_ax1_phase_0_10_max__median,31,31,True,
RKneeAngles_ax1_phase_0_10_rom__median,31,31,True,
RKneeAngles_ax1_phase_10_20_mean__median,31,31,True,
RKneeAngles_ax1_phase_10_20_min__median,31,31,True,
RKneeAngles_ax1_phase_10_20_max__median,31,31,True,
RKneeAngles_ax1_phase_10_20_rom__median,31,31,True,
RKneeAngles_ax1_phase_20_30_mean__median,31,31,True,
RKneeAngles_ax1_phase_20_30_min__median,31,31,True,
RKneeAngles_ax1_phase_20_30_max__median,31,31,True,
RKneeAngles_ax1_phase_20_30_rom__median,31,31,True,
RKneeAngles_ax1_phase_30_40_mean__median,31,31,True,
RKneeAngles_ax1_phase_30_40_min__median,31,31,True,
RKneeAngles_ax1_phase_30_40_max__median,31,31,True,
RKneeAngles_ax1_phase_30_40_rom__median,31,31,True,
RKneeAngles_ax1_phase_40_50_mean__median,31,31,True,
RKneeAngles_ax1_phase_40_50_min__median,31,31,True,
RKneeAngles_ax1_phase_40_50_max__median,31,31,True,
RKneeAngles_ax1_phase_40_50_rom__median,31,31,True,
RKneeAngles_ax1_phase_50_60_mean__median,31,31,True,
RKneeAngles_ax1_phase_50_60_min__median,31,31,True,
RKneeAngles_ax1_phase_50_60_max__median,31,31,True,
RKneeAngles_ax1_phase_50_60_rom__median,31,31,True,
RKneeAngles_ax1_phase_60_70_mean__median,31,31,True,
RKneeAngles_ax1_phase_60_70_min__median,31,31,True,
RKneeAngles_ax1_phase_60_70_max__median,31,31,True,
RKneeAngles_ax1_phase_60_70_rom__median,31,31,True,
RKneeAngles_ax1_phase_70_80_mean__median,31,31,True,
RKneeAngles_ax1_phase_70_80_min__median,31,31,True,
RKneeAngles_ax1_phase_70_80_max__median,31,31,True,
RKneeAngles_ax1_phase_70_80_rom__median,31,31,True,
RKneeAngles_ax1_phase_80_90_mean__median,31,31,True,
RKneeAngles_ax1_phase_80_90_min__median,31,31,True,
RKneeAngles_ax1_phase_80_90_max__median,31,31,True,
RKneeAngles_ax1_phase_80_90_rom__median,31,31,True,
RKneeAngles_ax1_phase_90_100_mean__median,31,31,True,
RKneeAngles_ax1_phase_90_100_min__median,31,31,True,
RKneeAngles_ax1_phase_90_100_max__median,31,31,True,
RKneeAngles_ax1_phase_90_100_rom__median,31,31,True,
LAnkleAngles_ax1_phase_0_10_mean__median,31,31,True,
LAnkleAngles_ax1_phase_0_10_min__median,31,31,True,
LAnkleAngles_ax1_phase_0_10_max__median,31,31,True,
LAnkleAngles_ax1_phase_0_10_rom__median,31,31,True,
LAnkleAngles_ax1_phase_10_20_mean__median,31,31,True,
LAnkleAngles_ax1_phase_10_20_min__median,31,31,True,
LAnkleAngles_ax1_phase_10_20_max__median,31,31,True,
LAnkleAngles_ax1_phase_10_20_rom__median,31,31,True,
LAnkleAngles_ax1_phase_20_30_mean__median,31,31,True,
LAnkleAngles_ax1_phase_20_30_min__median,31,31,True,
LAnkleAngles_ax1_phase_20_30_max__median,31,31,True,
LAnkleAngles_ax1_phase_20_30_rom__median,31,31,True,
LAnkleAngles_ax1_phase_30_40_mean__median,31,31,True,
LAnkleAngles_ax1_phase_30_40_min__median,31,31,True,
LAnkleAngles_ax1_phase_30_40_max__median,31,31,True,
LAnkleAngles_ax1_phase_30_40_rom__median,31,31,True,
LAnkleAngles_ax1_phase_40_50_mean__median,31,31,True,
LAnkleAngles_ax1_phase_40_50_min__median,31,31,True,
LAnkleAngles_ax1_phase_40_50_max__median,31,31,True,
LAnkleAngles_ax1_phase_40_50_rom__median,31,31,True,
LAnkleAngles_ax1_phase_50_60_mean__median,31,31,True,
LAnkleAngles_ax1_phase_50_60_min__median,31,31,True,
LAnkleAngles_ax1_phase_50_60_max__median,31,31,True,
LAnkleAngles_ax1_phase_50_60_rom__median,31,31,True,
LAnkleAngles_ax1_phase_60_70_mean__median,31,31,True,
LAnkleAngles_ax1_phase_60_70_min__median,31,31,True,
LAnkleAngles_ax1_phase_60_70_max__median,31,31,True,
LAnkleAngles_ax1_phase_60_70_rom__median,31,31,True,
LAnkleAngles_ax1_phase_70_80_mean__median,31,31,True,
LAnkleAngles_ax1_phase_70_80_min__median,31,31,True,
LAnkleAngles_ax1_phase_70_80_max__median,31,31,True,
LAnkleAngles_ax1_phase_70_80_rom__median,31,31,True,
LAnkleAngles_ax1_phase_80_90_mean__median,31,31,True,
LAnkleAngles_ax1_phase_80_90_min__median,31,31,True,
LAnkleAngles_ax1_phase_80_90_max__median,31,31,True,
LAnkleAngles_ax1_phase_80_90_rom__median,31,31,True,
LAnkleAngles_ax1_phase_90_100_mean__median,31,31,True,
LAnkleAngles_ax1_phase_90_100_min__median,31,31,True,
LAnkleAngles_ax1_phase_90_100_max__median,31,31,True,
LAnkleAngles_ax1_phase_90_100_rom__median,31,31,True,
RAnkleAngles_ax1_phase_0_10_mean__median,31,31,True,
RAnkleAngles_ax1_phase_0_10_min__median,31,31,True,
RAnkleAngles_ax1_phase_0_10_max__median,31,31,True,
RAnkleAngles_ax1_phase_0_10_rom__median,31,31,True,
RAnkleAngles_ax1_phase_10_20_mean__median,31,31,True,
RAnkleAngles_ax1_phase_10_20_min__median,31,31,True,
RAnkleAngles_ax1_phase_10_20_max__median,31,31,True,
RAnkleAngles_ax1_phase_10_20_rom__median,31,31,True,
RAnkleAngles_ax1_phase_20_30_mean__median,31,31,True,
RAnkleAngles_ax1_phase_20_30_min__median,31,31,True,
RAnkleAngles_ax1_phase_20_30_max__median,31,31,True,
RAnkleAngles_ax1_phase_20_30_rom__median,31,31,True,
RAnkleAngles_ax1_phase_30_40_mean__median,31,31,True,
RAnkleAngles_ax1_phase_30_40_min__median,31,31,True,
RAnkleAngles_ax1_phase_30_40_max__median,31,31,True,
RAnkleAngles_ax1_phase_30_40_rom__median,31,31,True,
RAnkleAngles_ax1_phase_40_50_mean__median,31,31,True,
RAnkleAngles_ax1_phase_40_50_min__median,31,31,True,
RAnkleAngles_ax1_phase_40_50_max__median,31,31,True,
RAnkleAngles_ax1_phase_40_50_rom__median,31,31,True,
RAnkleAngles_ax1_phase_50_60_mean__median,31,31,True,
RAnkleAngles_ax1_phase_50_60_min__median,31,31,True,
RAnkleAngles_ax1_phase_50_60_max__median,31,31,True,
RAnkleAngles_ax1_phase_50_60_rom__median,31,31,True,
RAnkleAngles_ax1_phase_60_70_mean__median,31,31,True,
RAnkleAngles_ax1_phase_60_70_min__median,31,31,True,
RAnkleAngles_ax1_phase_60_70_max__median,31,31,True,
RAnkleAngles_ax1_phase_60_70_rom__median,31,31,True,
RAnkleAngles_ax1_phase_70_80_mean__median,31,31,True,
RAnkleAngles_ax1_phase_70_80_min__median,31,31,True,
RAnkleAngles_ax1_phase_70_80_max__median,31,31,True,
RAnkleAngles_ax1_phase_70_80_rom__median,31,31,True,
RAnkleAngles_ax1_phase_80_90_mean__median,31,31,True,
RAnkleAngles_ax1_phase_80_90_min__median,31,31,True,
RAnkleAngles_ax1_phase_80_90_max__median,31,31,True,
RAnkleAngles_ax1_phase_80_90_rom__median,31,31,True,
RAnkleAngles_ax1_phase_90_100_mean__median,31,31,True,
RAnkleAngles_ax1_phase_90_100_min__median,31,31,True,
RAnkleAngles_ax1_phase_90_100_max__median,31,31,True,
RAnkleAngles_ax1_phase_90_100_rom__median,31,31,True,
coord_left_hip_knee_ax1_corr__median,31,31,True,
coord_left_hip_knee_ax1_lag_pct__median,31,2,False,near_constant
coord_left_knee_ankle_ax1_corr__median,31,31,True,
coord_left_knee_ankle_ax1_lag_pct__median,31,8,True,
coord_right_hip_knee_ax1_corr__median,31,31,True,
coord_right_hip_knee_ax1_lag_pct__median,31,3,False,near_constant
coord_right_knee_ankle_ax1_corr__median,31,31,True,
coord_right_knee_ankle_ax1_lag_pct__median,31,9,True,
COM_msjerk__median,31,31,True,
LKneeAngles_ax1_msjerk__median,31,31,True,
RKneeAngles_ax1_msjerk__median,31,31,True,
sym_HipAngles_ax1_rom_absdiff,31,31,True,
sym_HipAngles_ax1_rom_si,31,31,True,
sym_HipAngles_ax1_max_absdiff,31,31,True,
sym_HipAngles_ax1_max_si,31,31,True,
sym_HipAngles_ax1_tmax_pct_absdiff,31,17,True,
sym_HipAngles_ax1_tmax_pct_si,31,24,True,
sym_KneeAngles_ax1_rom_absdiff,31,31,True,
sym_KneeAngles_ax1_rom_si,31,31,True,
sym_KneeAngles_ax1_max_absdiff,31,31,True,
sym_KneeAngles_ax1_max_si,31,31,True,
sym_KneeAngles_ax1_tmax_pct_absdiff,31,4,True,
sym_KneeAngles_ax1_tmax_pct_si,31,13,True,
sym_AnkleAngles_ax1_rom_absdiff,31,31,True,
sym_AnkleAngles_ax1_rom_si,31,31,True,
sym_AnkleAngles_ax1_max_absdiff,31,31,True,
sym_AnkleAngles_ax1_max_si,31,31,True,
sym_AnkleAngles_ax1_tmax_pct_absdiff,31,10,True,
sym_AnkleAngles_ax1_tmax_pct_si,31,22,True,
sym_AbsAnkleAngle_ax1_rom_absdiff,31,31,True,
sym_AbsAnkleAngle_ax1_rom_si,31,31,True,
sym_AbsAnkleAngle_ax1_max_absdiff,31,31,True,
sym_AbsAnkleAngle_ax1_max_si,31,31,True,
sym_AbsAnkleAngle_ax1_tmax_pct_absdiff,31,10,True,
sym_AbsAnkleAngle_ax1_tmax_pct_si,31,22,True,
sym_FootProgressAngles_ax1_rom_absdiff,31,31,True,
sym_FootProgressAngles_ax1_rom_si,31,31,True,
sym_FootProgressAngles_ax1_max_absdiff,31,31,True,
sym_FootProgressAngles_ax1_max_si,31,31,True,
sym_FootProgressAngles_ax1_tmax_pct_absdiff,31,4,True,
sym_FootProgressAngles_ax1_tmax_pct_si,31,13,True,
sym_HJC_ax1_excursion_absdiff,31,31,True,
sym_HJC_ax1_excursion_si,31,31,True,
sym_HJC_path3d_absdiff,31,31,True,
sym_HJC_path3d_si,31,31,True,
sym_KJC_ax1_excursion_absdiff,31,31,True,
sym_KJC_ax1_excursion_si,31,31,True,
sym_KJC_path3d_absdiff,31,31,True,
sym_KJC_path3d_si,31,31,True,
sym_AJC_ax1_excursion_absdiff,31,31,True,
sym_AJC_ax1_excursion_si,31,31,True,
sym_AJC_path3d_absdiff,31,31,True,
sym_AJC_path3d_si,31,31,True,
sym_HEE_ax1_excursion_absdiff,31,31,True,
sym_HEE_ax1_excursion_si,31,31,True,
sym_HEE_path3d_absdiff,31,31,True,
sym_HEE_path3d_si,31,31,True,
sym_TOE_ax1_excursion_absdiff,31,31,True,
sym_TOE_ax1_excursion_si,31,31,True,
sym_TOE_path3d_absdiff,31,31,True,
sym_TOE_path3d_si,31,31,True,
sym_ASI_ax1_excursion_absdiff,31,31,True,
sym_ASI_ax1_excursion_si,31,31,True,
sym_ASI_path3d_absdiff,31,31,True,
sym_ASI_path3d_si,31,31,True,
sym_PSI_ax1_excursion_absdiff,31,31,True,
sym_PSI_ax1_excursion_si,31,31,True,
sym_PSI_path3d_absdiff,31,31,True,
sym_PSI_path3d_si,31,31,True,
var_cycle_duration_s_sd,31,31,True,
var_cycle_duration_s_cv,31,31,True,
var_cycle_duration_s_mad,31,12,True,
var_stance_pct_sd,31,31,True,
var_stance_pct_cv,31,31,True,
var_stance_pct_mad,31,31,True,
var_LKneeAngles_ax1_rom_sd,31,31,True,
var_LKneeAngles_ax1_rom_cv,31,31,True,
var_LKneeAngles_ax1_rom_mad,31,31,True,
var_RKneeAngles_ax1_rom_sd,31,31,True,
var_RKneeAngles_ax1_rom_cv,31,31,True,
var_RKneeAngles_ax1_rom_mad,31,31,True,
var_LHipAngles_ax1_rom_sd,31,31,True,
var_LHipAngles_ax1_rom_cv,31,31,True,
var_LHipAngles_ax1_rom_mad,31,31,True,
var_RHipAngles_ax1_rom_sd,31,31,True,
var_RHipAngles_ax1_rom_cv,31,31,True,
var_RHipAngles_ax1_rom_mad,31,31,True,
var_LAnkleAngles_ax1_rom_sd,31,31,True,
var_LAnkleAngles_ax1_rom_cv,31,31,True,
var_LAnkleAngles_ax1_rom_mad,31,31,True,
var_RAnkleAngles_ax1_rom_sd,31,31,True,
var_RAnkleAngles_ax1_rom_cv,31,31,True,
var_RAnkleAngles_ax1_rom_mad,31,31,True,
var_LKneeAngles_ax1_tmax_pct_sd,31,31,True,
var_LKneeAngles_ax1_tmax_pct_cv,31,31,True,
var_LKneeAngles_ax1_tmax_pct_mad,31,11,True,
var_RKneeAngles_ax1_tmax_pct_sd,31,31,True,
var_RKneeAngles_ax1_tmax_pct_cv,31,31,True,
var_RKneeAngles_ax1_tmax_pct_mad,31,9,True,
var_CentreOfMass_path3d_sd,31,31,True,
var_CentreOfMass_path3d_cv,31,31,True,
var_CentreOfMass_path3d_mad,31,31,True,
