cluster_id,representative,n_members,members,max_abs_spearman
210,LKneeAngles_ax1_phase_40_50_mean__median,1,LKneeAngles_ax1_phase_40_50_mean__median,0.0
211,LKneeAngles_ax1_phase_50_60_rom__median,1,LKneeAngles_ax1_phase_50_60_rom__median,0.0
212,LKneeAngles_ax1_phase_60_70_rom__median,1,LKneeAngles_ax1_phase_60_70_rom__median,0.0
213,LKneeAngles_ax1_phase_70_80_rom__median,1,LKneeAngles_ax1_phase_70_80_rom__median,0.0
214,LKneeAngles_ax1_phase_80_90_rom__median,2,LKneeAngles_ax1_phase_80_90_rom__median|RKneeAngles_ax1_phase_30_40_rom__median,0.9092741935483871
215,RKneeAngles_ax1_phase_10_20_min__median,5,RKneeAngles_ax1_phase_10_20_min__median|RKneeAngles_ax1_phase_0_10_max__median|RKneeAngles_ax1_phase_0_10_mean__median|RKneeAngles_ax1_phase_0_10_min__median|RKneeAngles_ax1_phase_90_100_min__median,0.9838709677419355
216,RKneeAngles_ax1_phase_0_10_rom__median,1,RKneeAngles_ax1_phase_0_10_rom__median,0.0
217,RKneeAngles_ax1_phase_20_30_rom__median,1,RKneeAngles_ax1_phase_20_30_rom__median,0.0
218,RKneeAngles_ax1_phase_40_50_mean__median,1,RKneeAngles_ax1_phase_40_50_mean__median,0.0
219,RKneeAngles_ax1_phase_50_60_min__median,5,RKneeAngles_ax1_phase_50_60_min__median|RKneeAngles_ax1_phase_40_50_min__median|RKneeAngles_ax1_phase_50_60_max__median|RKneeAngles_ax1_phase_60_70_min__median|RKneeAngles_ax1_phase_50_60_mean__median,0.9879032258064516
220,RKneeAngles_ax1_phase_50_60_rom__median,1,RKneeAngles_ax1_phase_50_60_rom__median,0.0
221,RKneeAngles_ax1_phase_70_80_rom__median,1,RKneeAngles_ax1_phase_70_80_rom__median,0.0
222,RKneeAngles_ax1_phase_90_100_mean__median,1,RKneeAngles_ax1_phase_90_100_mean__median,0.0
223,LAnkleAngles_ax1_phase_70_80_min__median,11,LAnkleAngles_ax1_phase_70_80_min__median|LAnkleAngles_ax1_phase_70_80_mean__median|LAnkleAngles_ax1_phase_90_100_max__median|LAnkleAngles_ax1_phase_0_10_max__median|LAnkleAngles_ax1_phase_90_100_mean__median|LAnkleAngles_ax1_phase_90_100_min__median|LAnkleAngles_ax1_phase_0_10_mean__median|LAnkleAngles_ax1_phase_80_90_max__median|LAnkleAngles_ax1_phase_70_80_max__median|LAnkleAngles_ax1_phase_80_90_mean__median|LAnkleAngles_ax1_phase_80_90_min__median,0.9903225806451613
224,LAnkleAngles_ax1_phase_0_10_min__median,1,LAnkleAngles_ax1_phase_0_10_min__median,0.0
225,LAnkleAngles_ax1_phase_0_10_rom__median,1,LAnkleAngles_ax1_phase_0_10_rom__median,0.0
226,LAnkleAngles_ax1_phase_10_20_mean__median,1,LAnkleAngles_ax1_phase_10_20_mean__median,0.0
227,LAnkleAngles_ax1_phase_10_20_min__median,1,LAnkleAngles_ax1_phase_10_20_min__median,0.0
228,LAnkleAngles_ax1_phase_10_20_max__median,1,LAnkleAngles_ax1_phase_10_20_max__median,0.0
229,LAnkleAngles_ax1_phase_10_20_rom__median,1,LAnkleAngles_ax1_phase_10_20_rom__median,0.0
230,LAnkleAngles_ax1_phase_50_60_max__median,9,LAnkleAngles_ax1_phase_50_60_max__median|LAnkleAngles_ax1_phase_50_60_mean__median|LAnkleAngles_ax1_phase_40_50_max__median|LAnkleAngles_ax1_phase_40_50_mean__median|LAnkleAngles_ax1_phase_40_50_min__median|LAnkleAngles_ax1_phase_30_40_max__median|LAnkleAngles_ax1_phase_30_40_mean__median|LAnkleAngles_ax1_phase_30_40_min__median|LAnkleAngles_ax1_phase_20_30_max__median,0.9838709677419355
231,LAnkleAngles_ax1_phase_30_40_rom__median,1,LAnkleAngles_ax1_phase_30_40_rom__median,0.0
232,LAnkleAngles_ax1_phase_40_50_rom__median,1,LAnkleAngles_ax1_phase_40_50_rom__median,0.0
233,LAnkleAngles_ax1_phase_50_60_min__median,1,LAnkleAngles_ax1_phase_50_60_min__median,0.0
234,LAnkleAngles_ax1_phase_50_60_rom__median,1,LAnkleAngles_ax1_phase_50_60_rom__median,0.0
235,LAnkleAngles_ax1_phase_60_70_min__median,2,LAnkleAngles_ax1_phase_60_70_min__median|LAnkleAngles_ax1_phase_60_70_mean__median,0.9346774193548387
236,LAnkleAngles_ax1_phase_60_70_max__median,1,LAnkleAngles_ax1_phase_60_70_max__median,0.0
237,LAnkleAngles_ax1_phase_60_70_rom__median,1,LAnkleAngles_ax1_phase_60_70_rom__median,0.0
238,LAnkleAngles_ax1_phase_70_80_rom__median,1,LAnkleAngles_ax1_phase_70_80_rom__median,0.0
239,LAnkleAngles_ax1_phase_80_90_rom__median,1,LAnkleAngles_ax1_phase_80_90_rom__median,0.0
240,LAnkleAngles_ax1_phase_90_100_rom__median,1,LAnkleAngles_ax1_phase_90_100_rom__median,0.0
241,RAnkleAngles_ax1_phase_90_100_max__median,7,RAnkleAngles_ax1_phase_90_100_max__median|RAnkleAngles_ax1_phase_0_10_max__median|RAnkleAngles_ax1_phase_0_10_mean__median|RAnkleAngles_ax1_phase_90_100_mean__median|RAnkleAngles_ax1_phase_0_10_min__median|RAnkleAngles_ax1_phase_90_100_min__median|RAnkleAngles_ax1_phase_80_90_max__median,0.980241935483871
242,RAnkleAngles_ax1_phase_0_10_rom__median,1,RAnkleAngles_ax1_phase_0_10_rom__median,0.0
243,RAnkleAngles_ax1_phase_10_20_mean__median,1,RAnkleAngles_ax1_phase_10_20_mean__median,0.0
244,RAnkleAngles_ax1_phase_20_30_min__median,12,RAnkleAngles_ax1_phase_20_30_min__median|RAnkleAngles_ax1_phase_20_30_mean__median|RAnkleAngles_ax1_phase_10_20_min__median|RAnkleAngles_ax1_phase_50_60_mean__median|RAnkleAngles_ax1_phase_50_60_max__median|RAnkleAngles_ax1_phase_40_50_max__median|RAnkleAngles_ax1_phase_20_30_max__median|RAnkleAngles_ax1_phase_40_50_mean__median|RAnkleAngles_ax1_phase_30_40_min__median|RAnkleAngles_ax1_phase_30_40_mean__median|RAnkleAngles_ax1_phase_40_50_min__median|RAnkleAngles_ax1_phase_30_40_max__median,0.9818548387096774
245,RAnkleAngles_ax1_phase_10_20_max__median,1,RAnkleAngles_ax1_phase_10_20_max__median,0.0
246,RAnkleAngles_ax1_phase_10_20_rom__median,1,RAnkleAngles_ax1_phase_10_20_rom__median,0.0
247,RAnkleAngles_ax1_phase_20_30_rom__median,1,RAnkleAngles_ax1_phase_20_30_rom__median,0.0
248,RAnkleAngles_ax1_phase_30_40_rom__median,1,RAnkleAngles_ax1_phase_30_40_rom__median,0.0
249,RAnkleAngles_ax1_phase_40_50_rom__median,1,RAnkleAngles_ax1_phase_40_50_rom__median,0.0
250,RAnkleAngles_ax1_phase_50_60_min__median,1,RAnkleAngles_ax1_phase_50_60_min__median,0.0
251,RAnkleAngles_ax1_phase_50_60_rom__median,1,RAnkleAngles_ax1_phase_50_60_rom__median,0.0
252,RAnkleAngles_ax1_phase_70_80_min__median,5,RAnkleAngles_ax1_phase_70_80_min__median|RAnkleAngles_ax1_phase_60_70_min__median|RAnkleAngles_ax1_phase_70_80_mean__median|RAnkleAngles_ax1_phase_60_70_mean__median|RAnkleAngles_ax1_phase_70_80_max__median,0.9560483870967742
