,S11,S12,S13,S14,S15,S17,S19,S2,S23,S26,S27,S3,S30,S31,S32,S34,S35,S37,S38,S39,S4,S40,S41,S42,S43,S46,S48,S5,S7,S8,S9
S27,0.4015784778142035,-0.1324880515342828,0.28046505143091915,0.055523358637357814,0.2469350273913813,0.05411648737063063,0.03537662478256367,0.3973996958968305,0.43164252676013076,-0.4307993103853394,1.0,-0.6081162222260889,0.36114564130826554,0.42948064971067934,0.3482740762668748,0.6641174383186198,-0.2717813161440926,0.5006937902263345,0.6308910792118209,-0.43273048992139307,-0.08467074660466274,-0.14507083144401858,-0.5195419434706705,0.296684707362073,0.31813129463932766,-0.11077029461561991,0.3324527969859692,-0.1807297854507183,0.45113573763089193,-0.026710609340482288,0.6334762406155382
S3,-0.6014538835804133,-0.2269596220786947,-0.6699223164476495,-0.16256865357208342,-0.505995586546423,-0.20650259246617014,0.16959519226388362,-0.4845412154937658,-0.5750844184002183,0.7453983213539536,-0.6081162222260889,1.0,-0.4466000542569953,-0.662238734743193,-0.1609082710410242,-0.4594729691389782,0.4627789387777233,-0.7072992568727595,-0.5532112283594074,0.7442757371306647,-0.2339112902405213,0.3687211031719149,0.7944038631036042,-0.5975321912152313,-0.541291782781692,-0.16932109808159657,-0.554290253520864,0.3668370737081821,-0.6626535208902368,0.07171051489389395,-0.632276319869576
S30,0.12125003796609851,-0.26138033253376164,0.18002731330602115,-0.013682283363873733,0.18306479006026363,-0.08660259668283368,-0.37661334619400727,0.20259678513400076,0.0888971989984102,-0.13292816979130528,0.36114564130826554,-0.4466000542569953,0.9999999999999997,0.2889728821659751,0.2970036245910945,0.11164451935401352,-0.805770148545764,0.23318152219551186,0.17316291771565132,-0.11407603619990903,0.07853158232964766,-0.7154320582889653,-0.12485923816441759,0.14537050450103872,0.3109986395692028,0.39068216046514526,0.1374547783826412,-0.7277962776788379,0.2062567440010627,-0.5020643359455433,0.25565811806423
S31,0.5104675287710688,-0.226198376820421,0.6654723976919921,0.15315883673453434,0.3119952942813526,-0.23166594125755077,0.14909217078394235,0.4685475890978546,0.5989481473458366,-0.5203617116049016,0.42948064971067934,-0.662238734743193,0.2889728821659751,1.0,0.10920268170876087,0.323137362831711,-0.20319668340526223,0.6629705811892078,0.39259242809282124,-0.5422211327802414,-0.17393346773442553,-0.09486798144380738,-0.5581327339525921,0.5788467528205008,0.7723669336220864,0.03808422623504078,0.8093442906622956,-0.13385952859585018,0.6402014009982914,0.004539992754457965,0.5832975512128183
S32,0.15833108037616136,-0.018874098736574366,-0.042246257563262175,-0.043801838606220105,-0.12318907660892388,-0.24435014409890218,0.28093544931066056,0.023781491249896956,0.027942154085591964,-0.11533333069522318,0.3482740762668748,-0.1609082710410242,0.2970036245910945,0.10920268170876087,1.0000000000000002,-0.01906627635918826,-0.14497566580569868,0.027302375532793143,0.038337166068765534,-0.14098754848460957,-0.04762180873039259,-0.05267066766516159,-0.13409244099221687,-0.07131805239794675,0.03134237052399549,-0.044366871874437226,0.03406472510036218,-0.07833358538558348,-0.05653594618003637,-0.20535112636556838,0.10443756450699845
S34,0.33193611384282073,-0.12510719999145611,0.3286547919499294,0.12099022380728715,0.3438033548205725,0.04899301656307849,-0.04244018735766822,0.4685721772687576,0.39012124495274914,-0.10387023673800208,0.6641174383186198,-0.4594729691389782,0.11164451935401352,0.323137362831711,-0.01906627635918826,1.0,-0.1691526296952942,0.6714537031321259,0.6519098223130854,-0.05133276648246385,-0.1458594747915534,-0.21320060559232873,-0.32222982339765155,0.19519387548517744,0.28861387558758617,-0.09591671488215489,0.44557616554470214,-0.16255270537028033,0.48218288179100444,0.026988899019923313,0.40917256510413297
S35,-0.11102571413289752,-0.07835325893909294,-0.1392588012368616,-0.073190723279701,-0.2569961857251628,-0.18984946465369748,0.5046916995182066,-0.1885347206233301,-0.18405820372945977,-0.07059303320730732,-0.2717813161440926,0.4627789387777233,-0.805770148545764,-0.20319668340526223,-0.14497566580569868,-0.1691526296952942,0.9999999999999999,-0.22703646651871415,-0.2507520337256815,-0.0602065666912601,-0.1317823065216295,0.9277666327345898,-0.05992109328813451,-0.16144020956113964,-0.13930087752231585,-0.15626350772632053,-0.09062072843973597,0.9564558466477164,-0.1901059036123792,0.5705822049280544,-0.30662680261336384
S37,0.6845097587800559,-0.19266831445321594,0.7088179662508863,0.15888711421966556,0.5013480010096053,-0.09032142070580776,0.018417631237941354,0.6531923865872351,0.5706197432448693,-0.41960007045973347,0.5006937902263345,-0.7072992568727595,0.23318152219551186,0.6629705811892078,0.027302375532793143,0.6714537031321259,-0.22703646651871415,1.0,0.7593194337757001,-0.3884326768390672,-0.1398393958268351,-0.2046663992782926,-0.5552558786690188,0.6207885845459357,0.6301324236720117,0.0512865438061968,0.6934953641745482,-0.14782159052593627,0.8299828104091734,-0.016577946277190878,0.5140995379427362
S38,0.43701099532395676,-0.1532945436272609,0.5332313266030058,0.13477259683258805,0.32296834984901496,0.0324568670719384,-0.038114092593579535,0.5466010167323209,0.5484125202027557,-0.2406149706169893,0.6308910792118209,-0.5532112283594074,0.17316291771565132,0.39259242809282124,0.038337166068765534,0.6519098223130854,-0.2507520337256815,0.7593194337757001,0.9999999999999997,-0.27094894814078874,-0.12363551518522041,-0.153516941344688,-0.39386785962435,0.5013600046398378,0.35430948971499215,-0.014627678890925764,0.39049520164992296,-0.12152485521457063,0.674467424734975,-0.017366142302143076,0.5679373750798344
S39,-0.5661143817236192,-0.20950412598727883,-0.5368167861374619,-0.04257553051621072,-0.22975940577716605,-0.138639919400833,-0.1267014830300427,-0.31200073041858617,-0.3968380460899596,0.9697242014446622,-0.43273048992139307,0.7442757371306647,-0.11407603619990903,-0.5422211327802414,-0.14098754848460957,-0.05133276648246385,-0.0602065666912601,-0.3884326768390672,-0.27094894814078874,1.0,-0.217044609518341,-0.1874588731185478,0.9042447550568434,-0.5419263794746204,-0.4765390162314841,-0.14458980407273653,-0.3958613783750206,-0.18957544153373915,-0.5240794058287567,-0.20063562436608456,-0.5546871776508795
