subject_id,session_name,victimized,n_kinfc,alternates,event_validation,n_cycles,n_left_cycles,n_right_cycles,n_pass,n_pass_with_warnings,n_fail,n_usable_lower_body,n_normalized_ok
S12,WU05Copy,N,5,True,PASS,3,2,1,3,0,0,3,3
S12,WU07Copy,N,5,True,PASS,3,1,2,3,0,0,3,3
S12,WU08Copy,N,5,True,PASS,3,2,1,3,0,0,3,3
S13,WU01,Y,5,True,PASS,3,2,1,3,0,0,3,3
S13,WU02,Y,5,True,PASS,3,1,2,3,0,0,3,3
S13,WU03,Y,5,True,PASS,3,2,1,3,0,0,3,3
S13,WU04,Y,5,True,PASS,3,1,2,3,0,0,3,3
S13,WU08,Y,5,True,PASS,3,1,2,3,0,0,3,3
S14,WU01,Y,5,True,PASS,3,1,2,3,0,0,3,3
S14,WU03,Y,5,True,PASS,3,1,2,3,0,0,3,3
S14,WU04,Y,5,True,PASS,3,1,2,3,0,0,3,3
S14,WU05,Y,7,True,PASS,5,3,2,5,0,0,5,5
S14,WU06,Y,5,True,PASS,3,2,1,3,0,0,3,3
S14,WU07,Y,7,True,PASS,5,2,3,5,0,0,5,5
S14,WU08,Y,7,True,PASS,5,2,3,5,0,0,5,5
S14,WU09,Y,7,True,PASS,5,3,2,5,0,0,5,5
S15,WU01,Y,7,True,PASS,5,2,3,5,0,0,5,5
S15,WU02,Y,7,True,PASS,5,2,3,5,0,0,5,5
S15,WU03,Y,6,True,PASS,4,2,2,4,0,0,4,4
S15,WU04,Y,6,True,PASS,4,2,2,4,0,0,4,4
S15,WU05,Y,7,True,PASS,5,2,3,5,0,0,5,5
S15,WU06,Y,7,True,PASS,5,3,2,5,0,0,5,5
S15,WU07,Y,8,True,PASS,6,3,3,6,0,0,6,6
S15,WU08,Y,7,True,PASS,5,3,2,5,0,0,5,5
S15,WU10,Y,6,True,PASS,4,2,2,4,0,0,4,4
S17,WU0,N,6,True,PASS,4,2,2,4,0,0,4,4
S17,WU11,N,7,True,PASS,5,3,2,5,0,0,5,5
S17,WU13,N,7,True,PASS,5,2,3,5,0,0,5,5
S17,WU3,N,7,True,PASS,5,2,3,5,0,0,5,5
S17,WU4,N,6,True,PASS,4,2,2,4,0,0,4,4
S17,WU5,N,7,True,PASS,5,2,3,5,0,0,5,5
S17,WU6,N,6,True,PASS,4,2,2,4,0,0,4,4
S17,WU7,N,6,True,PASS,4,2,2,4,0,0,4,4
