subject_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
S40,17.9908485172742,-1.4457542977895501,-0.9175548091889645,-1.4641234855007073,-4.902886688519406,4.208221964114133,4.364449987089648,0.09303332650840818,-0.08251407627181437,-1.4206937691848627,2.7590421726888468,-2.17294760469048,0.48019696323758637,-0.2746614839264115,-0.7837236862605121,-0.35190404042166684,0.08678639950187686,0.09408830997157323,0.037061798075699225,0.053148715676307655,-0.22704679955207696,0.005854721599913049,-0.08049436027898846,0.009531611227734839,-0.24431913674287828,-0.10097491694684252,-0.027164286005843703
S41,-1.459315946509381,11.749645244935165,10.927603551557844,1.3376444397483687,1.6150757972672494,-1.2631907184414892,-0.2929442885214898,0.48527751765618404,-2.7396582397471816,-1.4036134125439825,0.14659373869433875,0.4110526623438665,-1.114760843863545,0.9506518533075798,0.3746718647394503,0.7910401028472306,0.2617965353404834,0.35625484598976037,0.04820754098734968,0.22708283806095797,-0.3025480061788446,0.22934434961325983,-0.1213007920475228,-0.011567972651361303,-0.20706910382609128,-0.015006695280859362,0.026269818840393793
S42,-1.8989617807276227,-0.2595361189829669,-2.3753572788157493,-1.1635301251985282,-1.0624681766661015,0.0402220190130265,-1.469648852901692,-0.13658570473337905,-1.631355058360666,0.07470337328314507,1.556030872228357,1.285942611997745,0.3017803079125159,-0.09583584342459055,0.41847441159204296,-0.22839762955148377,-0.45848770557800606,-0.95709760171363,0.43557460512892177,-0.14337564864985208,-0.24194939961804,0.14799791554830374,0.5382615488136082,-0.2998811706118508,0.0694820072087514,-0.0942131570608127,-0.01874631752512604
S43,-2.464143832889217,-1.8770022195551255,-1.3699548748887553,-1.6204077964004442,-3.879134471416514,0.6003914160803158,-2.017753360930685,-1.1723191608045007,-1.6531251164620147,0.27321001774060516,-1.2564636803343745,-2.426265117439154,0.844821665199818,-0.27221801997207334,1.5888347178899107,0.21432301018858838,1.1632603897583924,-0.3755101046429512,-0.1604167977646165,-0.2843203076224648,-0.06802903990561326,-0.06402118217166562,0.13909701308482245,0.2496695201726709,0.020694001270759876,-0.023254791197436783,-0.01797320560535131
S46,-3.794200656385072,-1.5836434663320629,-1.5048833322616153,2.123157070586168,-4.087207079120985,-5.345452673403184,6.3393886204109435,-2.7282123769528153,-0.33011495302180077,1.283410025756065,-0.9887932922700428,0.5793352565354987,0.4937053455040384,-1.5622612187742604,0.41362199402934635,-0.10998127945186756,-0.2914600512603085,0.5267420793845401,-0.1438712908138663,0.8110470547722085,-0.1796650722153222,0.07256176182621164,0.031272791565570494,-0.0003299497722660429,-0.03414708459986492,0.006803496379184184,-0.011024042445548355
S48,-1.7730336782041864,-0.5569566822279849,-1.7586472072446984,-1.8382699086948584,-0.7000992017450707,0.20777783640388328,-2.1385419290397567,-0.5839307352769408,-0.7084871555692134,0.8678703507351586,-1.223297883106006,-1.8195965023430603,0.6493172562082007,0.17401957620210565,-0.6094289773955978,-0.738921977549909,-0.2182833068679722,0.8119500244775243,0.18164082265180115,-0.4420882828274044,0.29955323904302017,0.089760150059205,-0.094902848887039,-0.41723891190942225,-0.017635840112693753,0.04021269783041639,-0.022463195455924484
S5,18.054245451319602,-0.9567532096693089,-2.1128612260267774,-3.0350299100313283,-3.039119159962244,3.1912970611496387,4.891619902043626,0.6535792024544296,0.5640761916686801,-0.528174468357021,-0.8982659638192613,2.0991017781030177,0.8548149108027591,-0.318994489778832,0.09083368322761143,0.3250969550066247,-0.0071558548106250425,-0.3983838558905049,-0.08470126833252854,-0.7426544688854294,-0.4525763703499889,0.04765923020079559,-0.34210424293962344,0.022629492610972638,0.1322330150563429,0.07396537150394727,-0.005039283507537063
S7,-2.3102430894527575,-0.42455049945453005,-2.375980201690332,-1.4439937900604929,-1.4413736665566526,0.607671293305683,-2.402566427372006,-0.16991925843133207,-0.7321299663962767,-1.0277939039382422,-1.3089232656496872,1.3423738341992764,0.2706083618785134,0.5145961662027551,-0.9021784459088253,0.04044082339603502,0.8057964983841553,-0.1946757798386714,-0.14608195167219828,-0.07302766941248011,0.15028181540704783,-0.4890653005878214,0.16348871296925815,-0.08770565460233934,-0.23594671435792602,0.07648985780405919,0.0022987818542290913
S8,6.551266734774957,2.7663760170184633,-6.754543805743569,-6.792669108021651,5.372214270715595,-0.5634127769816768,3.1675317360381943,1.884065823675675,1.046616409784965,0.4814552255674966,-0.3420955884936961,-0.8745195005347423,-1.1020092117449871,0.17651142629937638,0.5818136487773735,0.525820249862906,0.39551269063689903,0.7762392319654281,0.43537948070398613,-0.2510985528948297,-0.13855377422498258,0.1659719218394364,0.1614243120631054,-0.12927615408552648,0.15737197544693196,-0.0039044669973905374,0.062019871243732184
S9,-2.486381168189719,-0.06069916438618402,-1.7515758180672174,-0.7166928937496636,-0.5456163365740926,1.006152880228283,-1.402262475106617,0.10354435207064945,-0.8924222301704337,-2.0901001332984825,-0.8554365241204458,-0.009404555239605542,-0.9628506009089329,-0.3620757981310614,0.3991925855968396,-0.4209496612023772,-0.04304763303055124,0.04678818211013697,-0.615918371841883,0.23948676594601787,-0.2203591676566349,0.1334910564600129,0.0025688029336463428,-0.21712205069039098,0.05593578496109435,0.1727928091275521,-0.06749182166542336
