feature,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift
LHipAngles_ax1_phase_50_60_rom__median,0.0,-0.013574660633484163,-0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
LHipAngles_ax1_phase_70_80_rom__median,-0.20168067226890757,-0.1875,-0.29411764705882354,-0.1583710407239819,1.0,0.09243697478991597
LHipAngles_ax1_phase_80_90_rom__median,-0.14285714285714285,-0.14285714285714285,-0.22171945701357465,-0.07692307692307693,1.0,0.0788623141564318
LHipAngles_ax1_phase_90_100_rom__median,-0.10084033613445378,-0.10714285714285714,-0.17647058823529413,-0.03167420814479638,1.0,0.07563025210084034
RHipAngles_ax1_phase_0_10_rom__median,0.17647058823529413,0.17857142857142858,0.11312217194570136,0.24107142857142858,1.0,0.06460084033613445
RHipAngles_ax1_phase_20_30_rom__median,-0.14285714285714285,-0.125,-0.23076923076923078,-0.07692307692307693,1.0,0.08791208791208793
RHipAngles_ax1_phase_30_40_rom__median,-0.12605042016806722,-0.13122171945701358,-0.20361990950226244,-0.058823529411764705,1.0,0.07756948933419522
RHipAngles_ax1_phase_40_50_rom__median,0.15966386554621848,0.15178571428571427,0.09502262443438914,0.248868778280543,1.0,0.08920491273432452
RHipAngles_ax1_phase_50_60_rom__median,0.3025210084033613,0.2857142857142857,0.248868778280543,0.38461538461538464,1.0,0.08209437621202331
RHipAngles_ax1_phase_60_70_rom__median,0.3865546218487395,0.3665158371040724,0.35714285714285715,0.49321266968325794,1.0,0.10665804783451843
RHipAngles_ax1_phase_70_80_rom__median,0.008403361344537815,0.008928571428571428,-0.06787330316742081,0.08597285067873303,0.6129032258064516,0.07756948933419522
RHipAngles_ax1_phase_80_90_rom__median,0.12605042016806722,0.12217194570135746,0.058823529411764705,0.19457013574660634,1.0,0.06851971557853911
RHipAngles_ax1_phase_90_100_rom__median,-0.13445378151260504,-0.11607142857142858,-0.22171945701357465,-0.09502262443438914,1.0,0.08726567550096961
LKneeAngles_ax1_phase_0_10_rom__median,-0.09243697478991597,-0.08928571428571429,-0.17647058823529413,-0.02262443438914027,1.0,0.08403361344537816
