feature,observed_cliffs_delta,perm_p,n_perm,unit
RAnkleAngles_ax3_peak_acc__median,0.3949579831932773,0.062,999,subject
LFootProgressAngles_ax1_min__median,0.12605042016806722,0.552,999,subject
LFootProgressAngles_ax1_max__median,-0.2857142857142857,0.201,999,subject
LFootProgressAngles_ax1_mean__median,-0.07563025210084033,0.759,999,subject
LFootProgressAngles_ax1_median__median,0.06722689075630252,0.783,999,subject
LFootProgressAngles_ax1_std__median,-0.4117647058823529,0.058,999,subject
LFootProgressAngles_ax1_rom__median,-0.35294117647058826,0.099,999,subject
LFootProgressAngles_ax1_tmin_pct__median,0.1722689075630252,0.406,999,subject
LFootProgressAngles_ax1_peak_vel__median,0.008403361344537815,0.984,999,subject
LFootProgressAngles_ax2_min__median,-0.2605042016806723,0.242,999,subject
LFootProgressAngles_ax2_rom__median,-0.35294117647058826,0.101,999,subject
LFootProgressAngles_ax2_mean__median,-0.4369747899159664,0.047,999,subject
LFootProgressAngles_ax2_median__median,-0.3025210084033613,0.164,999,subject
LFootProgressAngles_ax2_tmin_pct__median,0.11764705882352941,0.586,999,subject
LFootProgressAngles_ax2_tmax_pct__median,0.24789915966386555,0.236,999,subject
LFootProgressAngles_ax2_tpeak_vel_pct__median,-0.10504201680672269,0.594,999,subject
LFootProgressAngles_ax2_peak_acc__median,-0.025210084033613446,0.915,999,subject
LFootProgressAngles_ax3_min__median,0.14285714285714285,0.546,999,subject
LFootProgressAngles_ax3_mean__median,0.05042016806722689,0.837,999,subject
LFootProgressAngles_ax3_rom__median,-0.06722689075630252,0.758,999,subject
LFootProgressAngles_ax3_tmin_pct__median,-0.1134453781512605,0.573,999,subject
LFootProgressAngles_ax3_tmax_pct__median,0.04201680672268908,0.852,999,subject
LFootProgressAngles_ax3_peak_vel__median,0.05042016806722689,0.817,999,subject
LFootProgressAngles_ax3_tpeak_vel_pct__median,0.10504201680672269,0.607,999,subject
LFootProgressAngles_ax3_peak_acc__median,0.25210084033613445,0.243,999,subject
LFootProgressAngles_ax3_acc_rms__median,0.13445378151260504,0.54,999,subject
RFootProgressAngles_ax1_min__median,0.06722689075630252,0.755,999,subject
RFootProgressAngles_ax1_max__median,-0.24369747899159663,0.275,999,subject
RFootProgressAngles_ax1_mean__median,-0.058823529411764705,0.802,999,subject
RFootProgressAngles_ax1_median__median,-0.10084033613445378,0.648,999,subject
RFootProgressAngles_ax1_std__median,-0.17647058823529413,0.437,999,subject
RFootProgressAngles_ax1_rom__median,-0.19327731092436976,0.396,999,subject
RFootProgressAngles_ax1_tmin_pct__median,-0.01680672268907563,0.949,999,subject
RFootProgressAngles_ax1_acc_rms__median,0.10084033613445378,0.669,999,subject
RFootProgressAngles_ax2_min__median,0.25210084033613445,0.249,999,subject
RFootProgressAngles_ax2_max__median,0.14285714285714285,0.482,999,subject
RFootProgressAngles_ax2_mean__median,0.07563025210084033,0.738,999,subject
RFootProgressAngles_ax2_median__median,0.09243697478991597,0.667,999,subject
RFootProgressAngles_ax2_rom__median,0.01680672268907563,0.951,999,subject
RFootProgressAngles_ax2_tmin_pct__median,0.02100840336134454,0.917,999,subject
RFootProgressAngles_ax2_tmax_pct__median,-0.0546218487394958,0.769,999,subject
RFootProgressAngles_ax2_tpeak_vel_pct__median,-0.029411764705882353,0.901,999,subject
RFootProgressAngles_ax3_min__median,0.008403361344537815,0.984,999,subject
RFootProgressAngles_ax3_median__median,-0.09243697478991597,0.68,999,subject
RFootProgressAngles_ax3_rom__median,-0.058823529411764705,0.785,999,subject
RFootProgressAngles_ax3_tmin_pct__median,0.1092436974789916,0.613,999,subject
RFootProgressAngles_ax3_tmax_pct__median,-0.20168067226890757,0.335,999,subject
RFootProgressAngles_ax3_tpeak_vel_pct__median,-0.05042016806722689,0.814,999,subject
RFootProgressAngles_ax3_peak_acc__median,0.4117647058823529,0.07,999,subject
cycle_duration_s__median,-0.21008403361344538,0.347,999,subject
opposite_foot_off_pct__median,0.046218487394957986,0.834,999,subject
mid_stance_pct__median,0.012605042016806723,0.967,999,subject
LASI_path3d__median,-0.13445378151260504,0.533,999,subject
LASI_ax2_excursion__median,-0.2184873949579832,0.316,999,subject
LASI_ax3_excursion__median,0.008403361344537815,0.983,999,subject
RPSI_ax2_excursion__median,-0.3025210084033613,0.168,999,subject
LPSI_ax3_excursion__median,-0.226890756302521,0.301,999,subject
LKJC_ax2_excursion__median,-0.19327731092436976,0.365,999,subject
LKJC_ax3_excursion__median,0.17647058823529413,0.427,999,subject
RKJC_ax2_excursion__median,-0.14285714285714285,0.512,999,subject
RKJC_ax3_excursion__median,0.29411764705882354,0.18,999,subject
LAJC_ax2_excursion__median,-0.31932773109243695,0.143,999,subject
LAJC_ax3_excursion__median,0.11764705882352941,0.574,999,subject
RAJC_ax2_excursion__median,-0.24369747899159663,0.266,999,subject
RAJC_ax3_excursion__median,0.008403361344537815,0.982,999,subject
LHEE_ax2_excursion__median,-0.24369747899159663,0.282,999,subject
RHEE_ax3_excursion__median,-0.01680672268907563,0.943,999,subject
RHEE_ax2_excursion__median,-0.10084033613445378,0.662,999,subject
LTOE_ax2_excursion__median,-0.2773109243697479,0.19,999,subject
LTOE_ax3_excursion__median,-0.04201680672268908,0.855,999,subject
RTOE_ax2_excursion__median,-0.16806722689075632,0.444,999,subject
RTOE_ax3_excursion__median,-0.2184873949579832,0.333,999,subject
CentreOfMass_ax2_excursion__median,-0.10084033613445378,0.671,999,subject
LHipAngles_ax1_phase_0_10_rom__median,0.06722689075630252,0.769,999,subject
LHipAngles_ax1_phase_10_20_rom__median,0.03361344537815126,0.887,999,subject
LHipAngles_ax1_phase_30_40_rom__median,-0.08403361344537816,0.713,999,subject
LHipAngles_ax1_phase_40_50_rom__median,-0.06722689075630252,0.766,999,subject
LHipAngles_ax1_phase_50_60_rom__median,0.0,1.0,999,subject
LHipAngles_ax1_phase_70_80_rom__median,-0.20168067226890757,0.334,999,subject
LHipAngles_ax1_phase_80_90_rom__median,-0.14285714285714285,0.491,999,subject
LHipAngles_ax1_phase_90_100_rom__median,-0.10084033613445378,0.637,999,subject
RHipAngles_ax1_phase_0_10_rom__median,0.17647058823529413,0.414,999,subject
RHipAngles_ax1_phase_20_30_rom__median,-0.14285714285714285,0.494,999,subject
RHipAngles_ax1_phase_30_40_rom__median,-0.12605042016806722,0.551,999,subject
RHipAngles_ax1_phase_40_50_rom__median,0.15966386554621848,0.437,999,subject
RHipAngles_ax1_phase_50_60_rom__median,0.3025210084033613,0.161,999,subject
RHipAngles_ax1_phase_60_70_rom__median,0.3865546218487395,0.062,999,subject
RHipAngles_ax1_phase_70_80_rom__median,0.008403361344537815,0.994,999,subject
RHipAngles_ax1_phase_80_90_rom__median,0.12605042016806722,0.558,999,subject
RHipAngles_ax1_phase_90_100_rom__median,-0.13445378151260504,0.524,999,subject
LKneeAngles_ax1_phase_0_10_rom__median,-0.09243697478991597,0.696,999,subject
LKneeAngles_ax1_phase_10_20_mean__median,0.2857142857142857,0.187,999,subject
LKneeAngles_ax1_phase_20_30_rom__median,-0.21008403361344538,0.326,999,subject
LKneeAngles_ax1_phase_30_40_rom__median,0.16806722689075632,0.451,999,subject
LKneeAngles_ax1_phase_40_50_mean__median,0.2184873949579832,0.315,999,subject
LKneeAngles_ax1_phase_50_60_rom__median,-0.2689075630252101,0.221,999,subject
LKneeAngles_ax1_phase_60_70_rom__median,-0.14285714285714285,0.516,999,subject
LKneeAngles_ax1_phase_70_80_rom__median,-0.2184873949579832,0.3,999,subject
LKneeAngles_ax1_phase_80_90_rom__median,-0.15126050420168066,0.459,999,subject
RKneeAngles_ax1_phase_10_20_min__median,-0.1092436974789916,0.632,999,subject
RKneeAngles_ax1_phase_0_10_rom__median,-0.3865546218487395,0.074,999,subject
RKneeAngles_ax1_phase_20_30_rom__median,-0.3949579831932773,0.066,999,subject
RKneeAngles_ax1_phase_40_50_mean__median,0.16806722689075632,0.435,999,subject
RKneeAngles_ax1_phase_50_60_min__median,0.21008403361344538,0.319,999,subject
RKneeAngles_ax1_phase_50_60_rom__median,-0.19327731092436976,0.376,999,subject
RKneeAngles_ax1_phase_70_80_rom__median,-0.23529411764705882,0.249,999,subject
