subject_id,session_name,session_type,name_pattern,is_irregular_name,frame_count,sampling_rate,has_kinematics,has_events,has_res,marker_count,joint_angle_count,joint_center_count,com_count,segment_com_count,kinematics_field_count,valid,exclusion_reason
S5,WU01,walking,WU##,False,235,100,True,True,True,37,26,6,2,15,86,True,
S5,WU02,walking,WU##,False,242,100,True,True,True,37,26,6,2,15,86,True,
S5,WU03,walking,WU##,False,214,100,True,True,True,37,26,6,2,15,86,True,
S5,WU04,walking,WU##,False,229,100,True,True,True,37,26,6,2,15,86,True,
S5,WU05,walking,WU##,False,249,100,True,True,True,37,26,6,2,15,86,True,
S5,WU07,walking,WU##,False,270,100,True,True,True,37,26,6,2,15,86,True,
S5,WU08,walking,WU##,False,223,100,True,True,True,37,26,6,2,15,86,True,
S5,WU09,walking,WU##,False,236,100,True,True,True,37,26,6,2,15,86,True,
S5,static,static,static,False,43,100,True,False,False,37,26,0,0,0,63,True,
S7,WU01,walking,WU##,False,287,100,True,True,True,37,26,6,2,15,86,True,
S7,WU02,walking,WU##,False,255,100,True,True,True,37,26,6,2,15,86,False,nans:LUPA
S7,WU03,walking,WU##,False,268,100,True,True,True,37,26,6,2,15,86,False,nans:LUPA
S7,WU04,walking,WU##,False,251,100,True,True,True,37,26,6,2,15,86,True,
S7,WU05,walking,WU##,False,318,100,True,True,True,37,26,6,2,15,86,True,
S7,WU06,walking,WU##,False,217,100,True,True,True,37,26,6,2,15,86,True,
S7,WU07,walking,WU##,False,283,100,True,True,True,37,26,6,2,15,86,True,
S7,WU09,walking,WU##,False,283,100,True,True,True,37,26,6,2,15,86,True,
S7,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,
S8,WU01,walking,WU##,False,253,100,True,True,True,37,26,6,2,15,86,True,
S8,WU02,walking,WU##,False,330,100,True,True,True,37,26,6,2,15,86,True,
S8,WU03,walking,WU##,False,265,100,True,True,True,37,26,6,2,15,86,True,
S8,WU04,walking,WU##,False,278,100,True,True,True,37,26,6,2,15,86,True,
S8,WU05,walking,WU##,False,263,100,True,True,True,37,26,6,2,15,86,True,
S8,WU06,walking,WU##,False,293,100,True,True,True,37,26,6,2,15,86,True,
S8,WU07,walking,WU##,False,272,100,True,True,True,37,26,6,2,15,86,False,nans:RUPA
S8,WU08,walking,WU##,False,298,100,True,True,True,37,26,6,2,15,86,True,
S8,WU09,walking,WU##,False,326,100,True,True,True,37,26,6,2,15,86,True,
S8,static,static,static,False,38,100,True,False,False,37,26,0,0,0,63,True,
S9,WU01,walking,WU##,False,280,100,True,True,True,37,26,6,2,15,86,True,
S9,WU02,walking,WU##,False,295,100,True,True,True,37,26,6,2,15,86,True,
S9,WU03,walking,WU##,False,268,100,True,True,True,37,26,6,2,15,86,True,
S9,WU04,walking,WU##,False,308,100,True,True,True,37,26,6,2,15,86,True,
S9,WU05,walking,WU##,False,279,100,True,True,True,37,26,6,2,15,86,True,
S9,WU06,walking,WU##,False,273,100,True,True,True,37,26,6,2,15,86,True,
S9,WU07,walking,WU##,False,353,100,True,True,True,37,26,6,2,15,86,True,
S9,WU08,walking,WU##,False,325,100,True,True,True,37,26,6,2,15,86,True,
S9,WU09,walking,WU##,False,351,100,True,True,True,37,26,6,2,15,86,True,
S9,static,static,static,False,71,100,True,False,False,37,26,0,0,0,63,True,
S11,WU01,walking,WU##,False,204,100,True,True,True,37,26,6,2,15,86,True,
S11,WU02,walking,WU##,False,226,100,True,True,True,37,26,6,2,15,86,True,
S11,WU03,walking,WU##,False,230,100,True,True,True,37,26,6,2,15,86,True,
S11,WU04,walking,WU##,False,213,100,True,True,True,37,26,6,2,15,86,True,
S11,WU05,walking,WU##,False,225,100,True,True,True,37,26,6,2,15,86,True,
S11,WU06,walking,WU##,False,237,100,True,True,True,37,26,6,2,15,86,True,
S11,WU07,walking,WU##,False,233,100,True,True,True,37,26,6,2,15,86,True,
S11,WU08,walking,WU##,False,290,100,True,True,True,37,26,6,2,15,86,True,
S11,WU09,walking,WU##,False,242,100,True,True,True,37,26,6,2,15,86,True,
