feature,n_subjects,n_victims,n_controls,victim_median,control_median,victim_mean,control_mean,abs_median_diff,rel_median_diff,cliffs_delta,standardized_median_iqr,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,victim_consistency,control_consistency,mannwhitney_u,raw_p,test,fdr_q,adjusted_p,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift,observed_cliffs_delta,perm_p,n_perm,unit,anatomical_region,family,side,source_signal,rank_score,signature_status,rank
LFootProgressAngles_ax1_rom__median,31,17,14,101.4367618560791,105.91759157180786,101.8563219799715,105.21533169065204,4.48082971572876,-0.042304867862209064,-0.35294117647058826,-0.5650000604263284,-0.6974789915966386,0.06722689075630252,medium,VICTIMS_LOWER,0.7058823529411765,0.7142857142857143,77.0,0.09949440800504383,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.35294117647058826,-0.3482142857142857,-0.42857142857142855,-0.3031674208144796,1.0,0.07563025210084029,-0.35294117647058826,0.099,999,subject,foot,kinematic,left,LFootProgressAngles,0.037370242214532876,exploratory,21
LFootProgressAngles_ax2_rom__median,31,17,14,11.96575117111206,17.295776903629303,14.175571328576874,17.29124334028789,5.330025732517242,-0.3081692000432084,-0.35294117647058826,-0.6504661913263895,-0.7313025210084033,0.07563025210084033,medium,VICTIMS_LOWER,0.7058823529411765,0.9285714285714286,77.0,0.09949440800504383,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.35294117647058826,-0.3482142857142857,-0.4375,-0.31221719457013575,1.0,0.08455882352941174,-0.35294117647058826,0.101,999,subject,foot,kinematic,left,LFootProgressAngles,0.037370242214532876,exploratory,22
RKneeAngles_ax3_tmax_pct__median,31,17,14,60.0,38.25,52.294117647058826,41.67857142857143,21.75,0.5686274509803921,0.31512605042016806,0.7435897435897436,-0.07605042016806719,0.7059873949579831,small,VICTIMS_HIGHER,0.7647058823529411,0.7142857142857143,156.5,0.14151611924649787,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.31512605042016806,0.30357142857142855,0.27601809954751133,0.416289592760181,1.0,0.10116354234001296,0.31512605042016806,0.147,999,subject,knee,kinematic,right,RKneeAngles,0.036146811665842805,exploratory,23
LAJC_ax2_excursion__median,31,17,14,55.00042724609375,61.42218017578125,54.492261437808764,62.210972377232146,6.4217529296875,-0.1045510418436693,-0.31932773109243695,-0.4953372274060231,-0.6976890756302521,0.06743697478991577,small,VICTIMS_LOWER,0.7647058823529411,0.7142857142857143,81.0,0.13661042588145178,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.31932773109243695,-0.31221719457013575,-0.39285714285714285,-0.2669683257918552,1.0,0.0735294117647059,-0.31932773109243695,0.143,999,subject,ankle,spatial,left,LAJC,0.03479733069698467,exploratory,24
RAnkleAngles_ax3_peak_vel__median,31,17,14,369.221985096715,324.990711194088,380.59562710701806,328.8451722213234,44.23127390262698,0.1361001172621564,0.3277310924369748,0.4265382797907339,-0.06764705882352938,0.6554621848739496,small,VICTIMS_HIGHER,0.7058823529411765,0.7142857142857143,158.0,0.12645617291148628,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3277310924369748,0.32142857142857145,0.2850678733031674,0.4107142857142857,1.0,0.08298319327731091,0.3277310924369748,0.13,999,subject,ankle,kinematic,right,RAnkleAngles,0.034700939199209094,exploratory,25
sym_HipAngles_ax1_max_si,31,17,14,-4.173582993123,0.34182670408904126,-4.706206258116857,-0.3880122637274611,4.515409697212042,-13.209645832807253,-0.3277310924369748,-0.47630073224523134,-0.7226890756302521,0.1514705882352939,small,VICTIMS_LOWER,0.8235294117647058,0.6428571428571429,80.0,0.12645617291148628,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3277310924369748,-0.3125,-0.4298642533936652,-0.27601809954751133,1.0,0.1021331609566904,-0.3277310924369748,0.135,999,subject,hip,symmetry,bilateral,LHipAngles|RHipAngles,0.03441176470588235,exploratory,26
var_RKneeAngles_ax1_tmax_pct_mad,31,17,14,2.0,3.0,4.411764705882353,5.821428571428571,1.0,-0.3333333333333333,-0.3949579831932773,-1.4545454545454546,-0.7647058823529411,0.008508403361344442,medium,VICTIMS_LOWER,0.7647058823529411,0.7857142857142857,72.0,0.0591155080789585,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3949579831932773,-0.38392857142857145,-0.4796380090497738,-0.35294117647058826,1.0,0.08468002585649648,-0.3949579831932773,0.059,999,subject,mixed,variability,none,RKneeAngles_ax1_tmax_pct,0.033978002965892234,exploratory,27
RKneeAngles_ax3_tpeak_vel_pct__median,31,17,14,41.0,57.0,42.088235294117645,55.357142857142854,16.0,-0.2807017543859649,-0.3445378151260504,-0.6066350710900474,-0.7269957983193277,0.08834033613445369,medium,VICTIMS_LOWER,0.6470588235294118,0.9285714285714286,78.0,0.1069599837938576,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3445378151260504,-0.3482142857142857,-0.42857142857142855,-0.3031674208144796,1.0,0.08403361344537813,-0.3445378151260504,0.1,999,subject,knee,kinematic,right,RKneeAngles,0.033440434997528426,exploratory,28
sym_HipAngles_ax1_rom_absdiff,31,17,14,1.1471055150032043,1.8239128589630127,1.6051084701629246,2.5790680402091573,0.6768073439598083,-0.3710743858369461,-0.33613445378151263,-0.35348533346422684,-0.6638655462184874,0.04201680672268908,medium,VICTIMS_LOWER,0.7647058823529411,0.6428571428571429,79.0,0.11689950779539895,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.33613445378151263,-0.33031674208144796,-0.4117647058823529,-0.2850678733031674,1.0,0.07563025210084029,-0.33613445378151263,0.136,999,subject,hip,symmetry,bilateral,LHipAngles|RHipAngles,0.03277310924369748,exploratory,29
LAnkleAngles_ax1_phase_90_100_rom__median,31,17,14,2.6440701484680176,3.535673499107361,3.474690598600051,3.7049458154610226,0.8916033506393433,-0.25217355360002647,-0.33613445378151263,-0.4454180010509007,-0.6890756302521008,0.07563025210084033,medium,VICTIMS_LOWER,0.7058823529411765,0.7857142857142857,79.0,0.11689950779539895,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.33613445378151263,-0.32142857142857145,-0.41964285714285715,-0.29411764705882354,1.0,0.08350840336134452,-0.33613445378151263,0.125,999,subject,ankle,phase,left,LAnkleAngles,0.03203163618388532,exploratory,30
