feature,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,abs_median_diff,rel_median_diff,standardized_median_iqr
RAnkleAngles_ax2_tmax_pct__median,0.23529411764705882,-0.17647058823529413,0.6388655462184871,small,VICTIMS_HIGHER,19.0,0.59375,0.5333333333333333
LKneeAngles_ax2_tmin_pct__median,0.2815126050420168,-0.15126050420168066,0.6890756302521008,small,VICTIMS_HIGHER,1.0,0.02,0.05970149253731343
LFootProgressAngles_ax3_peak_acc__median,0.25210084033613445,-0.15966386554621848,0.6218487394957983,small,VICTIMS_HIGHER,484.7341447596118,0.19308839223987675,0.5490484643191287
sym_HipAngles_ax1_tmax_pct_si,-0.2689075630252101,-0.6388655462184873,0.12605042016806722,small,VICTIMS_LOWER,1.6822547234950727,-2.9777777777777774,-0.012738448086244296
RAnkleAngles_ax2_peak_acc__median,0.21008403361344538,-0.22710084033613445,0.6218487394957983,small,VICTIMS_HIGHER,493.11637271204563,0.3432866016221497,0.5345766467945093
RFootProgressAngles_ax1_max__median,-0.24369747899159663,-0.6302521008403361,0.17647058823529413,small,VICTIMS_LOWER,1.394632339477539,-0.09512673694771802,-0.28729748304075925
RAnkleAngles_ax1_phase_90_100_rom__median,-0.226890756302521,-0.6386554621848739,0.17647058823529413,small,VICTIMS_LOWER,0.8494859933853149,-0.2457274878554464,-0.5899419521038005
LTOE_ax2_excursion__median,-0.2773109243697479,-0.6302521008403361,0.1346638655462183,small,VICTIMS_LOWER,9.778465270996094,-0.14010586621434,-0.48815372647298827
var_RHipAngles_ax1_rom_mad,0.2689075630252101,-0.12605042016806722,0.6470588235294118,small,VICTIMS_HIGHER,0.3176058307290077,0.2879546987057021,0.4391670508026223
RKneeAngles_ax3_peak_vel__median,0.23529411764705882,-0.17647058823529413,0.6136554621848738,small,VICTIMS_HIGHER,31.099540643374553,0.13518065178905767,0.41932565189075366
sym_FootProgressAngles_ax1_rom_si,-0.25210084033613445,-0.6218487394957983,0.16848739495798282,small,VICTIMS_LOWER,1.262089526464132,-2.1075521249091307,-0.3775660952012059
sym_FootProgressAngles_ax1_tmax_pct_absdiff,-0.29411764705882354,-0.6428571428571429,0.09243697478991597,small,VICTIMS_LOWER,1.0,-1.0,-1.3333333333333333
LKneeAngles_ax3_peak_vel__median,0.17647058823529413,-0.2773109243697479,0.6222689075630249,small,VICTIMS_HIGHER,35.158034323371794,0.17010935908304461,0.34992333782735113
RAnkleAngles_ax1_min__median,0.20168067226890757,-0.2184873949579832,0.5968487394957981,small,VICTIMS_HIGHER,3.6980223655700684,0.23840435850021807,0.5558877645471192
