channel,time_percent,control_median,n_control,level
LASI_ax3,30,924.2418975830078,14,secondary
LASI_ax3,31,925.1833648681641,14,secondary
LASI_ax3,32,925.8770904541016,14,secondary
LASI_ax3,33,925.5919952392578,14,secondary
LASI_ax3,34,924.7227630615234,14,secondary
LASI_ax3,35,923.8876800537109,14,secondary
LASI_ax3,36,923.2541809082031,14,secondary
LASI_ax3,37,922.5328369140625,14,secondary
LASI_ax3,38,921.4577026367188,14,secondary
LASI_ax3,39,919.8907012939453,14,secondary
LASI_ax3,40,918.0783233642578,14,secondary
LASI_ax3,41,916.1266479492188,14,secondary
LASI_ax3,42,914.2652435302734,14,secondary
LASI_ax3,43,912.2589721679688,14,secondary
LASI_ax3,44,910.1605224609375,14,secondary
LASI_ax3,45,908.1632232666016,14,secondary
LASI_ax3,46,906.1349792480469,14,secondary
LASI_ax3,47,903.9394073486328,14,secondary
LASI_ax3,48,901.8000030517578,14,secondary
LASI_ax3,49,899.6018371582031,14,secondary
LASI_ax3,50,897.3790588378906,14,secondary
LASI_ax3,51,894.7582092285156,14,secondary
LASI_ax3,52,892.5395355224609,14,secondary
LASI_ax3,53,890.8589935302734,14,secondary
LASI_ax3,54,889.8053283691406,14,secondary
LASI_ax3,55,888.4369201660156,14,secondary
LASI_ax3,56,887.2852935791016,14,secondary
LASI_ax3,57,886.6612396240234,14,secondary
LASI_ax3,58,886.3057708740234,14,secondary
LASI_ax3,59,886.9640502929688,14,secondary
LASI_ax3,60,888.1672515869141,14,secondary
LASI_ax3,61,890.9766540527344,14,secondary
LASI_ax3,62,893.4880218505859,14,secondary
LASI_ax3,63,895.1297454833984,14,secondary
LASI_ax3,64,896.4374542236328,14,secondary
LASI_ax3,65,898.0232696533203,14,secondary
LASI_ax3,66,899.9990692138672,14,secondary
LASI_ax3,67,901.6801910400391,14,secondary
LASI_ax3,68,903.2907562255859,14,secondary
LASI_ax3,69,904.7919769287109,14,secondary
LASI_ax3,70,906.4011077880859,14,secondary
LASI_ax3,71,907.6251373291016,14,secondary
LASI_ax3,72,909.4944610595703,14,secondary
LASI_ax3,73,911.7887725830078,14,secondary
LASI_ax3,74,913.8126678466797,14,secondary
LASI_ax3,75,915.2096405029297,14,secondary
LASI_ax3,76,917.2966766357422,14,secondary
LASI_ax3,77,919.0904998779297,14,secondary
LASI_ax3,78,920.3574066162109,14,secondary
LASI_ax3,79,921.2826538085938,14,secondary
LASI_ax3,80,922.0463714599609,14,secondary
LASI_ax3,81,922.5186004638672,14,secondary
LASI_ax3,82,922.6318664550781,14,secondary
LASI_ax3,83,922.2458190917969,14,secondary
LASI_ax3,84,921.5841979980469,14,secondary
LASI_ax3,85,921.3675994873047,14,secondary
LASI_ax3,86,921.0713806152344,14,secondary
LASI_ax3,87,920.6631164550781,14,secondary
LASI_ax3,88,919.3304138183594,14,secondary
LASI_ax3,89,917.6307220458984,14,secondary
LASI_ax3,90,915.8460845947266,14,secondary
LASI_ax3,91,913.6688842773438,14,secondary
LASI_ax3,92,911.3596343994141,14,secondary
LASI_ax3,93,909.1765441894531,14,secondary
LASI_ax3,94,906.7512054443359,14,secondary
LASI_ax3,95,904.5327301025391,14,secondary
LASI_ax3,96,902.4053192138672,14,secondary
LASI_ax3,97,899.6665802001953,14,secondary
LASI_ax3,98,897.0419769287109,14,secondary
LASI_ax3,99,894.7998657226562,14,secondary
LASI_ax3,100,892.3481903076172,14,secondary
RASI_ax1,0,759.2903900146484,14,secondary
RASI_ax1,1,765.377197265625,14,secondary
RASI_ax1,2,765.3082885742188,14,secondary
RASI_ax1,3,753.2140808105469,14,secondary
RASI_ax1,4,740.716552734375,14,secondary
RASI_ax1,5,741.5291748046875,14,secondary
RASI_ax1,6,742.3649291992188,14,secondary
RASI_ax1,7,751.5872802734375,14,secondary
RASI_ax1,8,768.4254913330078,14,secondary
RASI_ax1,9,785.2235717773438,14,secondary
RASI_ax1,10,794.1267242431641,14,secondary
RASI_ax1,11,793.7937927246094,14,secondary
RASI_ax1,12,800.5454559326172,14,secondary
RASI_ax1,13,808.1103973388672,14,secondary
RASI_ax1,14,801.5365142822266,14,secondary
RASI_ax1,15,800.3641204833984,14,secondary
RASI_ax1,16,800.7291564941406,14,secondary
RASI_ax1,17,814.7021636962891,14,secondary
RASI_ax1,18,828.2937316894531,14,secondary
RASI_ax1,19,841.6244506835938,14,secondary
RASI_ax1,20,851.4734497070312,14,secondary
RASI_ax1,21,850.2207183837891,14,secondary
RASI_ax1,22,845.4117431640625,14,secondary
RASI_ax1,23,851.4321899414062,14,secondary
RASI_ax1,24,857.380126953125,14,secondary
RASI_ax1,25,863.2452087402344,14,secondary
RASI_ax1,26,871.1464691162109,14,secondary
RASI_ax1,27,883.0856170654297,14,secondary
RASI_ax1,28,894.9486236572266,14,secondary
RASI_ax1,29,906.7521514892578,14,secondary
RASI_ax1,30,917.6283111572266,14,secondary
RASI_ax1,31,916.6968383789062,14,secondary
RASI_ax1,32,914.5014343261719,14,secondary
RASI_ax1,33,910.8670349121094,14,secondary
RASI_ax1,34,912.5152130126953,14,secondary
RASI_ax1,35,922.7498168945312,14,secondary
RASI_ax1,36,932.94287109375,14,secondary
RASI_ax1,37,938.1464538574219,14,secondary
RASI_ax1,38,946.8625793457031,14,secondary
RASI_ax1,39,959.0181579589844,14,secondary
RASI_ax1,40,971.2994995117188,14,secondary
RASI_ax1,41,983.7189636230469,14,secondary
RASI_ax1,42,996.2457275390625,14,secondary
RASI_ax1,43,1008.8250427246094,14,secondary
RASI_ax1,44,1020.8111267089844,14,secondary
RASI_ax1,45,1026.5812072753906,14,secondary
RASI_ax1,46,1032.5897979736328,14,secondary
RASI_ax1,47,1038.1329040527344,14,secondary
RASI_ax1,48,1035.599853515625,14,secondary
RASI_ax1,49,1041.9732208251953,14,secondary
RASI_ax1,50,1050.103012084961,14,secondary
RASI_ax1,51,1062.7853698730469,14,secondary
RASI_ax1,52,1077.8775329589844,14,secondary
RASI_ax1,53,1082.7808837890625,14,secondary
RASI_ax1,54,1075.7800903320312,14,secondary
RASI_ax1,55,1066.0444946289062,14,secondary
RASI_ax1,56,1048.8592529296875,14,secondary
RASI_ax1,57,1042.4669189453125,14,secondary
RASI_ax1,58,1053.6397399902344,14,secondary
RASI_ax1,59,1069.5785064697266,14,secondary
RASI_ax1,60,1068.2359619140625,14,secondary
RASI_ax1,61,1074.8894653320312,14,secondary
RASI_ax1,62,1075.9824829101562,14,secondary
RASI_ax1,63,1084.6155395507812,14,secondary
RASI_ax1,64,1092.7153930664062,14,secondary
RASI_ax1,65,1103.259521484375,14,secondary
RASI_ax1,66,1102.1517028808594,14,secondary
RASI_ax1,67,1098.6722717285156,14,secondary
RASI_ax1,68,1105.8912658691406,14,secondary
RASI_ax1,69,1113.0856628417969,14,secondary
RASI_ax1,70,1120.2675170898438,14,secondary
RASI_ax1,71,1127.4095458984375,14,secondary
RASI_ax1,72,1139.6773681640625,14,secondary
RASI_ax1,73,1152.438232421875,14,secondary
RASI_ax1,74,1165.052001953125,14,secondary
RASI_ax1,75,1177.5167236328125,14,secondary
RASI_ax1,76,1189.8362426757812,14,secondary
RASI_ax1,77,1202.0773315429688,14,secondary
RASI_ax1,78,1214.2825927734375,14,secondary
RASI_ax1,79,1226.4713745117188,14,secondary
RASI_ax1,80,1238.6323852539062,14,secondary
RASI_ax1,81,1250.7098388671875,14,secondary
RASI_ax1,82,1262.6580200195312,14,secondary
RASI_ax1,83,1274.6336059570312,14,secondary
RASI_ax1,84,1276.3287353515625,14,secondary
RASI_ax1,85,1277.8155822753906,14,secondary
RASI_ax1,86,1276.8181457519531,14,secondary
RASI_ax1,87,1276.9760131835938,14,secondary
RASI_ax1,88,1278.1317749023438,14,secondary
RASI_ax1,89,1291.8309326171875,14,secondary
RASI_ax1,90,1305.5620727539062,14,secondary
RASI_ax1,91,1315.9742431640625,14,secondary
RASI_ax1,92,1315.5684814453125,14,secondary
RASI_ax1,93,1315.5531616210938,14,secondary
RASI_ax1,94,1316.7698364257812,14,secondary
RASI_ax1,95,1317.9192504882812,14,secondary
RASI_ax1,96,1324.5848388671875,14,secondary
RASI_ax1,97,1338.1567077636719,14,secondary
RASI_ax1,98,1352.0343627929688,14,secondary
RASI_ax1,99,1366.1968078613281,14,secondary
RASI_ax1,100,1365.2290649414062,14,secondary
RASI_ax2,0,191.9720230102539,14,secondary
RASI_ax2,1,192.22055053710938,14,secondary
RASI_ax2,2,192.1966552734375,14,secondary
RASI_ax2,3,192.3421401977539,14,secondary
RASI_ax2,4,192.4673080444336,14,secondary
RASI_ax2,5,191.69274139404297,14,secondary
RASI_ax2,6,190.0880355834961,14,secondary
