feature,n_subjects,n_victims,n_controls,victim_median,control_median,victim_mean,control_mean,abs_median_diff,rel_median_diff,cliffs_delta,standardized_median_iqr,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,victim_consistency,control_consistency,mannwhitney_u,raw_p,test,fdr_q,adjusted_p,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift,observed_cliffs_delta,perm_p,n_perm,unit,anatomical_region,family,side,source_signal,rank_score,signature_status,rank,phase_lo,phase_hi,phase_mid
RHipAngles_ax1_phase_90_100_rom__median,31,17,14,5.01112174987793,6.445189297199249,5.293692336362951,5.704838837896075,1.4340675473213196,-0.22250200594488237,-0.13445378151260504,-0.40603071609111724,-0.5630252100840336,0.285924369747899,negligible,VICTIMS_LOWER,0.7058823529411765,0.7142857142857143,103.0,0.5383828679426088,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.13445378151260504,-0.11607142857142858,-0.22171945701357465,-0.09502262443438914,1.0,0.08726567550096961,-0.13445378151260504,0.524,999,subject,hip,phase,right,RHipAngles,0.012812654473554128,exploratory,139,90,100,95.0
RAnkleAngles_ax1_phase_20_30_rom__median,31,17,14,6.201229663565755,7.281242370605469,7.1931455609772135,7.711187827800002,1.0800127070397139,-0.14832808085056312,-0.13445378151260504,-0.23066283683464825,-0.5464285714285714,0.3027310924369746,negligible,VICTIMS_LOWER,0.7058823529411765,0.7142857142857143,103.0,0.5383828679426088,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.13445378151260504,-0.11607142857142858,-0.20361990950226244,-0.06787330316742081,1.0,0.0691661279896574,-0.13445378151260504,0.503,999,subject,ankle,phase,right,RAnkleAngles,0.012812654473554128,exploratory,140,20,30,25.0
LHipAngles_ax1_phase_80_90_rom__median,31,17,14,8.735376834869385,9.097380727529526,8.626803468255435,8.88518237216132,0.362003892660141,-0.039792100990638256,-0.14285714285714285,-0.21065728045404777,-0.5380252100840336,0.285924369747899,negligible,VICTIMS_LOWER,0.6470588235294118,0.5714285714285714,102.0,0.512497079202056,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.14285714285714285,-0.14285714285714285,-0.22171945701357465,-0.07692307692307693,1.0,0.0788623141564318,-0.14285714285714285,0.491,999,subject,hip,phase,left,LHipAngles,0.012478991596638655,exploratory,144,80,90,85.0
RHipAngles_ax1_phase_20_30_rom__median,31,17,14,13.507362365722656,14.596625804901123,13.991976787062253,14.721498517585653,1.0892634391784668,-0.07462433124871391,-0.14285714285714285,-0.24450521438435743,-0.5630252100840336,0.2773109243697479,negligible,VICTIMS_LOWER,0.6470588235294118,0.7142857142857143,102.0,0.512497079202056,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.14285714285714285,-0.125,-0.23076923076923078,-0.07692307692307693,1.0,0.08791208791208793,-0.14285714285714285,0.494,999,subject,hip,phase,right,RHipAngles,0.012478991596638655,exploratory,145,20,30,25.0
RAnkleAngles_ax1_phase_30_40_rom__median,31,17,14,3.947904050350189,3.652937650680542,4.123522735693875,3.5845913908311298,0.2949663996696472,0.08074772357932115,0.16806722689075632,0.12356536136360294,-0.22710084033613445,0.5632352941176468,small,VICTIMS_HIGHER,0.5294117647058824,0.5714285714285714,139.0,0.43890886310183785,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.16806722689075632,0.16964285714285715,0.10407239819004525,0.23214285714285715,1.0,0.06407563025210083,0.16806722689075632,0.444,999,subject,ankle,phase,right,RAnkleAngles,0.012011863568956995,exploratory,151,30,40,35.0
RKneeAngles_ax1_phase_90_100_rom__median,31,17,14,22.31615972518921,8.79544460773468,16.95740205750746,13.861555376223155,13.520715117454529,1.5372406649647323,0.13445378151260504,0.654238477144816,-0.2857142857142857,0.5462184873949579,negligible,VICTIMS_HIGHER,0.6470588235294118,0.6428571428571429,135.0,0.5383828679426088,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.13445378151260504,0.125,0.07692307692307693,0.22171945701357465,1.0,0.08726567550096961,0.13445378151260504,0.518,999,subject,knee,phase,right,RKneeAngles,0.011744933267424616,exploratory,155,90,100,95.0
LKneeAngles_ax1_phase_60_70_rom__median,31,17,14,13.2033931016922,17.504549980163574,17.342183540849124,19.090417419161117,4.3011568784713745,-0.24571650704219827,-0.14285714285714285,-0.24263212602674786,-0.5296218487394958,0.2523109243697477,negligible,VICTIMS_LOWER,0.5882352941176471,0.6428571428571429,102.0,0.512497079202056,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.14285714285714285,-0.13392857142857142,-0.21428571428571427,-0.08928571428571429,1.0,0.07142857142857142,-0.14285714285714285,0.516,999,subject,knee,phase,left,LKneeAngles,0.01134453781512605,exploratory,160,60,70,65.0
LAnkleAngles_ax1_phase_70_80_min__median,31,17,14,0.08893059194087982,-2.1328199803829193,0.07549526761559879,-1.50781130364963,2.221750572323799,1.0416962485155046,0.14285714285714285,0.17289772044048252,-0.294327731092437,0.5378151260504201,negligible,VICTIMS_HIGHER,0.5882352941176471,0.5714285714285714,136.0,0.512497079202056,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.14285714285714285,0.14027149321266968,0.07692307692307693,0.23076923076923078,1.0,0.08791208791208793,0.14285714285714285,0.494,999,subject,ankle,phase,left,LAnkleAngles,0.01134453781512605,exploratory,161,70,80,75.0
LAnkleAngles_ax1_phase_60_70_rom__median,31,17,14,9.527121782302856,10.788967820815742,10.625603005290031,10.962263282255403,1.2618460385128856,-0.11695706757771002,-0.14285714285714285,-0.2243811563995543,-0.5464285714285714,0.26071428571428557,negligible,VICTIMS_LOWER,0.5882352941176471,0.6428571428571429,102.0,0.512497079202056,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.14285714285714285,-0.13392857142857142,-0.23076923076923078,-0.09502262443438914,1.0,0.08791208791208793,-0.14285714285714285,0.487,999,subject,ankle,phase,left,LAnkleAngles,0.01134453781512605,exploratory,162,60,70,65.0
RAnkleAngles_ax1_phase_10_20_rom__median,31,17,14,9.989776611328125,11.761403560638428,10.324143188841203,11.191908431904656,1.7716269493103027,-0.15063057229320478,-0.12605042016806722,-0.31035308390626876,-0.5294117647058824,0.29411764705882354,negligible,VICTIMS_LOWER,0.6470588235294118,0.5714285714285714,104.0,0.5649085443053756,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.12605042016806722,-0.125,-0.21266968325791855,-0.058823529411764705,1.0,0.08661926308985132,-0.12605042016806722,0.569,999,subject,ankle,phase,right,RAnkleAngles,0.011010874938210579,exploratory,167,10,20,15.0
LAnkleAngles_ax1_phase_10_20_min__median,31,17,14,-2.6519620418548584,-5.404258608818054,-5.431392347001854,-6.896176363740649,2.752296566963196,0.5092829130109191,0.15126050420168066,0.27985003577634404,-0.2689075630252101,0.5630252100840336,small,VICTIMS_HIGHER,0.5294117647058824,0.7857142857142857,137.0,0.4872755078332215,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.15126050420168066,0.1583710407239819,0.08597285067873303,0.2398190045248869,1.0,0.08855850032320622,0.15126050420168066,0.479,999,subject,ankle,phase,left,LAnkleAngles,0.010810677212061295,exploratory,169,10,20,15.0
RAnkleAngles_ax1_phase_20_30_min__median,31,17,14,0.029261291027069092,-3.701023817062378,-0.2623414467362797,-1.590592337506158,3.730285108089447,1.0079062693117968,0.1092436974789916,0.3644726066983475,-0.3365546218487395,0.5294117647058824,negligible,VICTIMS_HIGHER,0.7058823529411765,0.6428571428571429,132.0,0.6197691020252198,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.1092436974789916,0.09821428571428571,0.04072398190045249,0.19457013574660634,1.0,0.08532643826761474,0.1092436974789916,0.593,999,subject,ankle,phase,right,RAnkleAngles,0.01041028175976273,exploratory,178,20,30,25.0
