subject_id,channel,victimized,vel_rms,mean_abs_accel,n_extrema
S4,LKneeAngles_ax1,Y,1.8694026969942688,0.21798626825039155,4.0
S40,LKneeAngles_ax1,N,2.1067659948983106,0.24109540235966326,5.0
S41,LKneeAngles_ax1,N,1.58118809311395,0.17063553722750716,3.0
S42,LKneeAngles_ax1,N,1.9561918103410676,0.2076580905521438,3.0
S43,LKneeAngles_ax1,N,2.0409661170396576,0.22003456366714555,4.0
S46,LKneeAngles_ax1,Y,2.2087242505334235,0.35026916514669304,6.0
S48,LKneeAngles_ax1,N,2.0633441604671465,0.22881347580799535,4.0
S5,LKneeAngles_ax1,Y,2.043723522471674,0.22127519078884172,4.0
S7,LKneeAngles_ax1,Y,1.917397502399615,0.22099152390264573,4.0
S8,LKneeAngles_ax1,Y,2.0885252040039637,0.2335754573082447,4.0
S9,LKneeAngles_ax1,N,1.9404702453420524,0.21605657857130647,4.0
S11,RKneeAngles_ax1,N,1.740215250544937,0.19416439834496538,4.0
S12,RKneeAngles_ax1,N,2.270874760288925,0.25723942470830186,4.0
S13,RKneeAngles_ax1,Y,1.8504674252234599,0.22425140305342933,7.0
S14,RKneeAngles_ax1,Y,1.6649811071033436,0.19879137782431666,7.0
S15,RKneeAngles_ax1,Y,1.8732806189352893,0.200283017731101,4.0
S17,RKneeAngles_ax1,N,2.3030632848447237,0.28337530234595276,4.0
S19,RKneeAngles_ax1,Y,2.086362003426595,0.23057470604704855,4.0
S2,RKneeAngles_ax1,N,1.9281738429984885,0.2409657032276451,4.0
S23,RKneeAngles_ax1,N,1.8715612473676153,0.21087331761285832,4.0
S26,RKneeAngles_ax1,Y,1.4674399016140331,0.20634946958151962,6.0
S27,RKneeAngles_ax1,Y,1.933454206299318,0.21784077142650687,4.0
S3,RKneeAngles_ax1,Y,1.6608495321747117,0.18894348591487065,4.0
S30,RKneeAngles_ax1,N,2.0881471353073335,0.23839098145083693,4.0
S31,RKneeAngles_ax1,Y,1.884782081880638,0.22931442501422433,4.0
S32,RKneeAngles_ax1,Y,2.206773928992007,0.24387521548325153,3.0
S34,RKneeAngles_ax1,Y,1.96448504599278,0.2447071087324898,4.0
S35,RKneeAngles_ax1,N,1.9917099183247295,0.2869406157002796,4.0
S37,RKneeAngles_ax1,Y,2.0172439051771796,0.23405279131901285,5.0
S38,RKneeAngles_ax1,Y,2.112895923903386,0.2547624549451058,4.0
S39,RKneeAngles_ax1,N,1.462748656554063,0.1734002897847211,4.0
S4,RKneeAngles_ax1,Y,1.8589396141077967,0.19213733160481225,3.0
S40,RKneeAngles_ax1,N,2.1845660412223853,0.24349233410509208,4.0
S41,RKneeAngles_ax1,N,1.4425634216752978,0.14642672260302478,4.0
S42,RKneeAngles_ax1,N,1.8597088634583805,0.19807821883917404,3.0
S43,RKneeAngles_ax1,N,2.02561277883311,0.2157026275522281,3.0
S46,RKneeAngles_ax1,Y,1.9039094482606138,0.20870176044275715,3.0
S48,RKneeAngles_ax1,N,2.0157955643729704,0.21020735257958867,4.0
S5,RKneeAngles_ax1,Y,1.9708547625915416,0.21586122065242686,4.0
S7,RKneeAngles_ax1,Y,1.9116221212816016,0.2010162269310609,3.0
S8,RKneeAngles_ax1,Y,1.917159505376883,0.21353341663768885,4.0
S9,RKneeAngles_ax1,N,1.9758699199724583,0.23515098347891014,4.0
S11,LAnkleAngles_ax1,N,1.0271005198661427,0.14834518286329346,5.0
S12,LAnkleAngles_ax1,N,0.9912033080065633,0.16468053539412475,7.0
S13,LAnkleAngles_ax1,Y,1.104989271738231,0.190879219880345,3.0
S14,LAnkleAngles_ax1,Y,0.5918743603435576,0.10683476509559378,8.0
S15,LAnkleAngles_ax1,Y,1.853940370823939,0.28769838554787835,5.0
