,S2,S3,S4,S5,S7,S8,S9,S11,S12,S13,S14,S15,S17,S19,S23,S26,S27,S30,S31,S32,S34,S35,S37,S38,S39,S40,S41,S42,S43,S46,S48
S27,0.16666666666666666,0.1875,0.0,0.06666666666666667,0.2727272727272727,0.2222222222222222,0.2222222222222222,0.13333333333333333,0.3333333333333333,0.5,0.13333333333333333,0.14285714285714285,0.25,0.14285714285714285,0.2,0.18181818181818182,1.0,0.10526315789473684,0.09090909090909091,0.058823529411764705,0.2,0.07692307692307693,0.08333333333333333,0.2727272727272727,0.07692307692307693,0.08333333333333333,0.15384615384615385,0.14285714285714285,0.1,0.06666666666666667,0.0
S30,0.0,0.3333333333333333,0.125,0.5625,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.5294117647058824,0.16666666666666666,0.16666666666666666,0.3684210526315789,0.25,0.20833333333333334,0.13636363636363635,0.05,0.375,0.10526315789473684,1.0,0.16666666666666666,0.42105263157894735,0.2857142857142857,0.15,0.29411764705882354,0.09523809523809523,0.2777777777777778,0.29411764705882354,0.09090909090909091,0.0625,0.05263157894736842,0.47058823529411764,0.15
S31,0.0,0.05555555555555555,0.0,0.23076923076923078,0.07692307692307693,0.1,0.1,0.21428571428571427,0.2,0.0,0.3076923076923077,0.45454545454545453,0.05263157894736842,0.14285714285714285,0.09090909090909091,0.4444444444444444,0.09090909090909091,0.16666666666666666,1.0,0.125,0.38461538461538464,0.07692307692307693,0.4444444444444444,0.07692307692307693,0.4,0.18181818181818182,0.15384615384615385,0.14285714285714285,0.0,0.3333333333333333,0.07692307692307693
S32,0.0,0.19047619047619047,0.07142857142857142,0.375,0.17647058823529413,0.13333333333333333,0.13333333333333333,0.4375,0.2857142857142857,0.058823529411764705,0.35294117647058826,0.15789473684210525,0.23809523809523808,0.2222222222222222,0.125,0.1875,0.058823529411764705,0.42105263157894735,0.125,1.0,0.4117647058823529,0.17647058823529413,0.35714285714285715,0.1111111111111111,0.17647058823529413,0.1875,0.16666666666666666,0.0,0.13333333333333333,0.375,0.17647058823529413
S34,0.0,0.19047619047619047,0.07142857142857142,0.29411764705882354,0.1111111111111111,0.13333333333333333,0.3076923076923077,0.4375,0.2857142857142857,0.125,0.35294117647058826,0.2222222222222222,0.3,0.1,0.2,0.26666666666666666,0.2,0.2857142857142857,0.38461538461538464,0.4117647058823529,1.0,0.1111111111111111,0.35714285714285715,0.17647058823529413,0.42857142857142855,0.1875,0.05,0.07692307692307693,0.0625,0.29411764705882354,0.05263157894736842
S35,0.0,0.3125,0.1,0.058823529411764705,0.14285714285714285,0.0,0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.1875,0.058823529411764705,0.2222222222222222,0.125,0.07692307692307693,0.0,0.07692307692307693,0.15,0.07692307692307693,0.17647058823529413,0.1111111111111111,1.0,0.25,0.45454545454545453,0.06666666666666667,0.07142857142857142,0.21428571428571427,0.1111111111111111,0.18181818181818182,0.2,0.3333333333333333
S37,0.0,0.25,0.0,0.21428571428571427,0.07142857142857142,0.0,0.0,0.38461538461538464,0.3,0.08333333333333333,0.6363636363636364,0.3076923076923077,0.10526315789473684,0.0625,0.08333333333333333,0.4,0.08333333333333333,0.29411764705882354,0.4444444444444444,0.35714285714285715,0.35714285714285715,0.25,1.0,0.07142857142857142,0.25,0.16666666666666666,0.06666666666666667,0.0,0.0,0.5454545454545454,0.25
S38,0.0,0.16666666666666666,0.1,0.058823529411764705,0.23076923076923078,0.18181818181818182,0.08333333333333333,0.05555555555555555,0.2727272727272727,0.16666666666666666,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.125,0.07692307692307693,0.07142857142857142,0.2727272727272727,0.09523809523809523,0.07692307692307693,0.1111111111111111,0.17647058823529413,0.45454545454545453,0.07142857142857142,1.0,0.06666666666666667,0.07142857142857142,0.21428571428571427,0.25,0.3,0.058823529411764705,0.23076923076923078
S39,0.0,0.23529411764705882,0.1,0.2,0.14285714285714285,0.08333333333333333,0.0,0.35714285714285715,0.16666666666666666,0.0,0.26666666666666666,0.38461538461538464,0.15789473684210525,0.125,0.2727272727272727,0.5,0.07692307692307693,0.2777777777777778,0.4,0.17647058823529413,0.42857142857142855,0.06666666666666667,0.25,0.06666666666666667,1.0,0.15384615384615385,0.0,0.1111111111111111,0.0,0.2,0.06666666666666667
S40,0.0,0.17647058823529413,0.1111111111111111,0.4166666666666667,0.15384615384615385,0.2,0.2,0.2,0.08333333333333333,0.3,0.2,0.21428571428571427,0.10526315789473684,0.13333333333333333,0.08333333333333333,0.2727272727272727,0.08333333333333333,0.29411764705882354,0.18181818181818182,0.1875,0.1875,0.07142857142857142,0.16666666666666666,0.07142857142857142,0.15384615384615385,1.0,0.0,0.0,0.09090909090909091,0.3076923076923077,0.15384615384615385
S41,0.1111111111111111,0.15789473684210525,0.0,0.11764705882352941,0.13333333333333333,0.07692307692307693,0.07692307692307693,0.05263157894736842,0.07142857142857142,0.07142857142857142,0.1111111111111111,0.26666666666666666,0.2777777777777778,0.35714285714285715,0.07142857142857142,0.0,0.15384615384615385,0.09090909090909091,0.15384615384615385,0.16666666666666666,0.05,0.21428571428571427,0.06666666666666667,0.21428571428571427,0.0,0.0,1.0,0.0,0.16666666666666666,0.11764705882352941,0.21428571428571427
S42,0.0,0.0,0.25,0.09090909090909091,0.25,0.16666666666666666,0.0,0.0,0.14285714285714285,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.14285714285714285,0.125,0.14285714285714285,0.0625,0.14285714285714285,0.0,0.07692307692307693,0.1111111111111111,0.0,0.25,0.1111111111111111,0.0,0.0,1.0,0.16666666666666666,0.09090909090909091,0.0
S43,0.0,0.058823529411764705,0.14285714285714285,0.07142857142857142,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.06666666666666667,0.15384615384615385,0.11764705882352941,0.25,0.0,0.0,0.1,0.05263157894736842,0.0,0.13333333333333333,0.0625,0.18181818181818182,0.0,0.3,0.0,0.09090909090909091,0.16666666666666666,0.16666666666666666,1.0,0.07142857142857142,0.18181818181818182
S46,0.0,0.21052631578947367,0.18181818181818182,0.5384615384615384,0.125,0.07142857142857142,0.07142857142857142,0.4,0.23076923076923078,0.06666666666666667,0.4,0.3333333333333333,0.09090909090909091,0.17647058823529413,0.14285714285714285,0.3076923076923077,0.06666666666666667,0.47058823529411764,0.3333333333333333,0.375,0.29411764705882354,0.2,0.5454545454545454,0.058823529411764705,0.2,0.3076923076923077,0.11764705882352941,0.09090909090909091,0.07142857142857142,1.0,0.125
S48,0.0,0.4,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0,0.05555555555555555,0.07692307692307693,0.16666666666666666,0.35714285714285715,0.2857142857142857,0.2222222222222222,0.2,0.07692307692307693,0.15384615384615385,0.0,0.15,0.07692307692307693,0.17647058823529413,0.05263157894736842,0.3333333333333333,0.25,0.23076923076923078,0.06666666666666667,0.15384615384615385,0.21428571428571427,0.0,0.18181818181818182,0.125,1.0
